Company_ID,Sector,Revenue_Crore,Credit_Rating,Latent_Distress_Score,Default_Flag,Default_Probability
CMP_000073,Hospitals_Healthcare,65.71,AA,0.0796,0,0.0001
CMP_000074,Real_Estate_Residential,136.62,NR,0.4596,0,0.0136
CMP_000075,Real_Estate_Commercial,102.78,BBB,0.3193,0,0.0026
CMP_000076,Infrastructure_Roads,102.39,BB,0.4108,0,0.0076
CMP_000077,Manufacturing_General,21.77,A,0.2162,0,0.0007
CMP_000078,Steel_Primary,83.08,BBB,0.3051,0,0.0022
CMP_000079,Manufacturing_General,27.04,BBB,0.1971,0,0.0006
CMP_000080,FMCG_Distribution,19.59,AA,0.0628,0,0.0001
CMP_000081,NBFC,51.55,AA,0.0798,0,0.0001
CMP_000082,Steel_Secondary,26.48,B,0.6449,0,0.1129
CMP_000083,Manufacturing_General,102.77,A,0.2745,0,0.0015
CMP_000084,Steel_Secondary,104.76,A,0.1919,0,0.0006
CMP_000085,Steel_Secondary,11.92,BBB,0.2496,0,0.0011
CMP_000086,Real_Estate_Commercial,28.14,BB,0.4954,0,0.0207
CMP_000087,NBFC,16.98,AA,0.0859,0,0.0002
CMP_000088,FMCG_Distribution,37.71,BBB,0.3195,0,0.0026
CMP_000089,IT_Services,78.58,A,0.209,0,0.0007
CMP_000090,Manufacturing_General,44.98,AA,0.1484,0,0.0003
CMP_000091,Real_Estate_Residential,34.06,AA,0.099,0,0.0002
CMP_000092,Infrastructure_Roads,154.49,B,0.7647,1,0.349
CMP_000093,Pharma,10.0,A,0.2254,0,0.0008
CMP_000094,Infrastructure_Roads,146.86,AA,0.0717,0,0.0001
CMP_000095,IT_Services,35.32,BBB,0.4326,0,0.0099
CMP_000096,Pharma,51.29,B,0.6729,0,0.1512
CMP_000097,Cement,35.81,A,0.1382,0,0.0003
CMP_000098,Manufacturing_General,187.6,BBB,0.3992,0,0.0066
CMP_000099,Manufacturing_General,20.39,AA,0.1831,0,0.0005
CMP_000100,Manufacturing_General,55.11,BBB,0.298,0,0.002
CMP_000101,NBFC,83.26,BBB,0.2698,0,0.0014
CMP_000102,Steel_Secondary,15.05,BBB,0.2897,0,0.0018
CMP_000103,IT_Services,26.16,BBB,0.3429,0,0.0034
CMP_000104,FMCG_Distribution,48.49,BBB,0.3767,0,0.0051
CMP_000105,Textiles_Cotton,26.86,AA,0.1228,0,0.0002
CMP_000106,Cement,28.43,BBB,0.3061,0,0.0022
CMP_000107,Real_Estate_Commercial,41.27,AA,0.1599,0,0.0004
CMP_000108,Textiles_Cotton,91.8,BB,0.4581,0,0.0134
CMP_000109,Manufacturing_General,41.51,NR,0.5737,0,0.0514
CMP_000110,Steel_Secondary,129.38,NR,0.4154,0,0.008
CMP_000111,Manufacturing_General,24.58,B,0.6802,0,0.1627
CMP_000112,Chemical,20.05,BBB,0.2932,0,0.0019
CMP_000113,Hospitals_Healthcare,254.95,BB,0.4761,0,0.0165
CMP_000114,NBFC,32.25,A,0.1611,0,0.0004
CMP_000115,FMCG_Distribution,19.13,BB,0.5741,0,0.0516
CMP_000116,Hospitals_Healthcare,13.55,BBB,0.256,0,0.0012
CMP_000117,Textiles_Cotton,129.03,BBB,0.2556,0,0.0012
CMP_000118,FMCG_Distribution,41.55,BB,0.6285,0,0.0946
CMP_000119,Pharma,44.57,A,0.2289,0,0.0009
CMP_000120,Hospitals_Healthcare,48.07,BBB,0.1569,0,0.0004
CMP_000121,FMCG_Distribution,122.78,D,0.923,0,0.7819
CMP_000122,Steel_Secondary,47.29,AA,0.0275,0,0.0001
CMP_000123,Manufacturing_General,356.11,BBB,0.243,0,0.001
CMP_000124,Textiles_Cotton,60.76,C,0.6317,0,0.098
CMP_000125,Cement,127.67,BB,0.4704,0,0.0154
CMP_000126,Hospitals_Healthcare,103.98,BBB,0.2315,0,0.0009
CMP_000127,FMCG_Distribution,53.03,A,0.183,0,0.0005
CMP_000128,Manufacturing_General,34.14,BBB,0.2025,0,0.0006
CMP_000129,IT_Services,71.21,B,0.6558,0,0.1267
CMP_000130,Cement,82.11,BBB,0.2751,0,0.0015
CMP_000131,Textiles_Cotton,34.53,BBB,0.3901,0,0.0059
CMP_000132,Manufacturing_General,62.37,AA,0.1565,0,0.0004
CMP_000133,Steel_Secondary,146.78,AAA,0.0736,0,0.0001
CMP_000134,Chemical,285.99,NR,0.4108,0,0.0076
CMP_000135,Steel_Secondary,108.15,BBB,0.4191,0,0.0084
CMP_000136,IT_Services,242.31,BBB,0.2068,0,0.0007
CMP_000137,Real_Estate_Residential,33.0,AA,0.0439,0,0.0001
CMP_000138,Steel_Primary,95.73,BB,0.4741,0,0.0161
CMP_000139,Agri_Food,159.3,NR,0.7205,1,0.2397
CMP_000140,Agri_Food,26.65,BBB,0.2879,0,0.0018
CMP_000141,Textiles_Cotton,37.02,A,0.1708,0,0.0004
CMP_000142,IT_Services,219.27,BBB,0.2135,0,0.0007
CMP_000143,Steel_Secondary,25.03,BB,0.5462,0,0.0375
CMP_000144,Steel_Secondary,18.67,BBB,0.3572,0,0.004
CMP_000145,Manufacturing_General,185.38,B,0.7052,0,0.208
CMP_000146,NBFC,142.23,BB,0.436,0,0.0103
CMP_000147,IT_Services,77.15,C,0.7776,0,0.3849
CMP_000148,Manufacturing_General,52.64,BB,0.3895,0,0.0059
CMP_000149,Textiles_Cotton,38.44,A,0.1842,0,0.0005
CMP_000150,FMCG_Distribution,68.41,BBB,0.2352,0,0.0009
CMP_000151,Textiles_Cotton,193.22,A,0.1211,0,0.0002
CMP_000152,Manufacturing_General,66.08,C,0.7946,1,0.4341
CMP_000153,IT_Services,309.07,BB,0.4458,0,0.0115
CMP_000154,Agri_Food,26.62,BB,0.4423,0,0.0111
CMP_000155,Textiles_Cotton,53.75,BBB,0.328,0,0.0028
CMP_000156,Real_Estate_Residential,40.51,A,0.184,0,0.0005
CMP_000157,Infrastructure_Roads,22.92,BB,0.4598,0,0.0136
CMP_000158,Textiles_Cotton,48.3,BBB,0.311,0,0.0023
CMP_000159,Real_Estate_Commercial,76.24,A,0.1304,0,0.0003
CMP_000160,Steel_Primary,83.05,BB,0.4874,0,0.0189
CMP_000161,NBFC,309.93,AA,0.106,0,0.0002
CMP_000162,NBFC,79.17,BBB,0.2098,0,0.0007
CMP_000163,Pharma,137.02,BBB,0.3597,0,0.0041
CMP_000164,Manufacturing_General,57.56,A,0.1359,0,0.0003
CMP_000165,Hospitals_Healthcare,209.02,NR,0.4608,0,0.0138
CMP_000166,Steel_Secondary,371.95,A,0.2382,0,0.001
CMP_000167,Textiles_Cotton,83.5,A,0.2263,0,0.0008
CMP_000168,Manufacturing_General,24.68,A,0.1817,0,0.0005
CMP_000169,NBFC,35.2,BB,0.4546,0,0.0128
CMP_000170,Real_Estate_Residential,68.41,BBB,0.3569,0,0.004
CMP_000171,Manufacturing_General,78.67,BBB,0.3405,0,0.0033
CMP_000172,IT_Services,95.46,AAA,0.0314,0,0.0001
CMP_000173,Textiles_Cotton,78.9,AA,0.0682,0,0.0001
CMP_000174,NBFC,54.9,BBB,0.1757,0,0.0005
CMP_000175,Manufacturing_General,32.82,B,0.6608,0,0.1335
CMP_000176,Real_Estate_Residential,75.26,C,0.815,0,0.4951
CMP_000177,Steel_Primary,240.81,AA,0.1454,0,0.0003
CMP_000178,Chemical,123.46,BBB,0.3215,0,0.0026
CMP_000179,Manufacturing_General,83.74,C,0.9001,0,0.7312
CMP_000180,Steel_Secondary,124.42,BBB,0.2582,0,0.0012
CMP_000181,Manufacturing_General,40.57,B,0.7297,1,0.2604
CMP_000182,Chemical,36.36,A,0.1536,0,0.0003
CMP_000183,FMCG_Distribution,30.02,NR,0.5433,0,0.0363
CMP_000184,Textiles_Cotton,49.39,BB,0.3779,0,0.0051
CMP_000185,Real_Estate_Residential,38.95,NR,0.4782,0,0.0169
CMP_000186,Hospitals_Healthcare,143.54,BB,0.3411,0,0.0033
CMP_000187,Pharma,37.33,BBB,0.284,0,0.0017
CMP_000188,Pharma,28.73,NR,0.5028,0,0.0226
CMP_000189,Textiles_Cotton,258.28,A,0.154,0,0.0004
CMP_000190,Manufacturing_General,38.05,BBB,0.237,0,0.001
CMP_000191,FMCG_Distribution,61.73,BB,0.5392,0,0.0346
CMP_000192,FMCG_Distribution,78.34,BB,0.4728,0,0.0159
CMP_000193,NBFC,21.99,D,0.9253,0,0.7865
CMP_000194,Steel_Secondary,146.7,A,0.1821,0,0.0005
CMP_000195,Steel_Secondary,90.89,B,0.8346,1,0.5535
CMP_000196,Real_Estate_Commercial,189.94,BB,0.5607,0,0.0443
CMP_000197,FMCG_Distribution,31.71,AA,0.1465,0,0.0003
CMP_000198,FMCG_Distribution,59.1,BBB,0.3261,0,0.0028
CMP_000199,Infrastructure_Roads,56.34,A,0.1883,0,0.0005
CMP_000200,NBFC,67.43,BBB,0.1562,0,0.0004
CMP_000201,Manufacturing_General,17.05,NR,0.3685,0,0.0046
CMP_000202,Manufacturing_General,59.66,BB,0.4464,0,0.0116
CMP_000203,FMCG_Distribution,17.44,BB,0.3488,0,0.0036
CMP_000204,NBFC,72.72,NR,0.3111,0,0.0023
CMP_000205,Manufacturing_General,10.0,BBB,0.1811,0,0.0005
CMP_000206,Manufacturing_General,12.41,B,0.6473,0,0.1159
CMP_000207,Real_Estate_Residential,105.09,BBB,0.3491,0,0.0036
CMP_000208,Manufacturing_General,35.25,B,0.7275,0,0.2553
CMP_000209,Manufacturing_General,24.77,A,0.2007,0,0.0006
CMP_000210,Pharma,150.91,NR,0.3344,0,0.0031
CMP_000211,Real_Estate_Residential,70.96,A,0.0834,0,0.0002
CMP_000212,Real_Estate_Residential,109.69,BBB,0.1946,0,0.0006
CMP_000213,Textiles_Cotton,47.8,BB,0.3912,0,0.006
CMP_000214,Real_Estate_Residential,465.78,BBB,0.2467,0,0.0011
CMP_000215,Textiles_Cotton,33.66,BBB,0.2904,0,0.0018
CMP_000216,Steel_Secondary,220.43,BBB,0.2392,0,0.001
CMP_000217,Real_Estate_Commercial,51.98,BB,0.5037,0,0.0229
CMP_000218,NBFC,14.53,A,0.1684,0,0.0004
CMP_000219,Hospitals_Healthcare,80.34,AA,0.1004,0,0.0002
CMP_000220,Real_Estate_Residential,70.23,BBB,0.3684,0,0.0046
CMP_000221,Pharma,23.55,BBB,0.2292,0,0.0009
CMP_000222,Manufacturing_General,26.11,A,0.2009,0,0.0006
CMP_000223,Steel_Primary,53.53,BBB,0.2992,0,0.002
CMP_000224,Textiles_Cotton,72.23,BBB,0.28,0,0.0016
CMP_000225,Textiles_Cotton,10.0,AA,0.1354,0,0.0003
CMP_000226,Agri_Food,126.79,BBB,0.3527,0,0.0038
CMP_000227,Cement,36.76,C,0.7632,1,0.3449
CMP_000228,FMCG_Distribution,18.81,A,0.1709,0,0.0004
CMP_000229,NBFC,115.91,BBB,0.3169,0,0.0025
CMP_000230,Infrastructure_Roads,53.58,BB,0.4609,0,0.0138
CMP_000231,IT_Services,144.45,BBB,0.3351,0,0.0031
CMP_000232,Pharma,77.51,BB,0.4997,0,0.0218
CMP_000233,IT_Services,54.53,BBB,0.41,0,0.0075
CMP_000234,Textiles_Cotton,48.32,BBB,0.2082,0,0.0007
CMP_000235,Real_Estate_Commercial,80.33,AAA,0.0463,0,0.0001
CMP_000236,Steel_Secondary,39.22,BB,0.4164,0,0.0081
CMP_000237,Manufacturing_General,27.6,BB,0.5223,0,0.0284
CMP_000238,NBFC,88.94,AA,0.0353,0,0.0001
CMP_000239,Manufacturing_General,48.64,BBB,0.3208,0,0.0026
CMP_000240,Chemical,56.08,NR,0.3744,0,0.0049
CMP_000241,Chemical,130.52,BBB,0.256,0,0.0012
CMP_000242,Chemical,49.84,BBB,0.2132,0,0.0007
CMP_000243,Steel_Primary,55.26,C,0.7921,1,0.4268
CMP_000244,Manufacturing_General,33.79,BB,0.5559,0,0.0419
CMP_000245,Chemical,77.06,BBB,0.2985,0,0.002
CMP_000246,Cement,72.23,B,0.6939,0,0.1865
CMP_000247,Agri_Food,112.24,B,0.7665,0,0.354
CMP_000248,Agri_Food,34.35,BBB,0.3158,0,0.0024
CMP_000249,FMCG_Distribution,37.85,BBB,0.2665,0,0.0014
CMP_000250,Steel_Secondary,102.9,BBB,0.328,0,0.0028
CMP_000251,Steel_Primary,66.8,NR,0.3847,0,0.0056
CMP_000252,FMCG_Distribution,26.44,BB,0.4447,0,0.0114
CMP_000253,Steel_Secondary,155.28,AA,0.0392,0,0.0001
CMP_000254,Manufacturing_General,14.03,B,0.7148,1,0.2276
CMP_000255,Pharma,102.25,BBB,0.2768,0,0.0015
CMP_000256,Chemical,19.84,AA,0.1073,0,0.0002
CMP_000257,Real_Estate_Residential,246.81,BBB,0.2378,0,0.001
CMP_000258,Pharma,15.87,BBB,0.3262,0,0.0028
CMP_000259,Manufacturing_General,137.25,B,0.5967,0,0.0666
CMP_000260,NBFC,51.15,A,0.1729,0,0.0004
CMP_000261,Agri_Food,40.72,B,0.7114,1,0.2205
CMP_000262,Manufacturing_General,63.33,BBB,0.3474,0,0.0036
CMP_000263,IT_Services,90.52,AA,0.0991,0,0.0002
CMP_000264,FMCG_Distribution,26.48,NR,0.2378,0,0.001
CMP_000265,Real_Estate_Commercial,28.43,BBB,0.4796,0,0.0172
CMP_000266,Real_Estate_Residential,91.81,BBB,0.4048,0,0.0071
CMP_000267,Real_Estate_Residential,13.93,BBB,0.3434,0,0.0034
CMP_000268,Steel_Primary,34.21,B,0.5973,0,0.0671
CMP_000269,Steel_Secondary,500.0,BBB,0.2932,0,0.0019
CMP_000270,Hospitals_Healthcare,25.17,A,0.1528,0,0.0003
CMP_000271,Hospitals_Healthcare,136.76,A,0.2432,0,0.001
CMP_000272,FMCG_Distribution,34.17,BBB,0.3158,0,0.0024
CMP_000273,Chemical,82.04,BB,0.4251,0,0.009
CMP_000274,IT_Services,92.16,BBB,0.2718,0,0.0014
CMP_000275,IT_Services,134.72,A,0.2361,0,0.0009
CMP_000276,Infrastructure_Roads,46.52,A,0.26,0,0.0013
CMP_000277,NBFC,268.03,BBB,0.3917,0,0.0061
CMP_000278,Real_Estate_Residential,34.07,NR,0.5408,0,0.0352
CMP_000279,Infrastructure_Roads,65.85,BBB,0.2848,0,0.0017
CMP_000280,FMCG_Distribution,66.43,NR,0.061,0,0.0001
CMP_000281,Steel_Secondary,22.25,BBB,0.3178,0,0.0025
CMP_000282,Steel_Primary,43.44,A,0.1799,0,0.0005
CMP_000283,Manufacturing_General,62.13,C,0.8284,1,0.5351
CMP_000284,Pharma,38.64,BBB,0.3032,0,0.0021
CMP_000285,Manufacturing_General,384.81,BB,0.3872,0,0.0057
CMP_000286,IT_Services,27.91,NR,0.5169,0,0.0267
CMP_000287,Pharma,140.27,AA,0.1253,0,0.0002
CMP_000288,Steel_Secondary,108.33,AA,0.1273,0,0.0003
CMP_000289,NBFC,54.0,BB,0.5463,0,0.0375
CMP_000290,Manufacturing_General,27.33,A,0.2102,0,0.0007
CMP_000291,Manufacturing_General,29.53,A,0.1595,0,0.0004
CMP_000292,Hospitals_Healthcare,36.08,AA,0.0972,0,0.0002
CMP_000293,Steel_Primary,13.08,AAA,0.0527,0,0.0001
CMP_000294,Manufacturing_General,24.46,BB,0.4875,0,0.0189
CMP_000295,Pharma,16.68,A,0.2299,0,0.0009
CMP_000296,Infrastructure_Roads,160.24,BBB,0.3386,0,0.0032
CMP_000297,Textiles_Cotton,89.55,BBB,0.4246,0,0.009
CMP_000298,NBFC,102.39,BBB,0.4324,0,0.0098
CMP_000299,Manufacturing_General,87.45,AAA,0.0524,0,0.0001
CMP_000300,Manufacturing_General,62.4,BB,0.2114,0,0.0007
CMP_000301,Pharma,175.66,AAA,0.0871,0,0.0002
CMP_000302,Pharma,33.49,BB,0.4422,0,0.0111
CMP_000303,NBFC,59.46,C,0.7719,0,0.3689
CMP_000304,Real_Estate_Commercial,99.25,BBB,0.2761,0,0.0015
CMP_000305,Agri_Food,18.97,BBB,0.2732,0,0.0015
CMP_000306,IT_Services,500.0,BBB,0.3367,0,0.0031
CMP_000307,Steel_Secondary,55.86,BBB,0.2064,0,0.0007
CMP_000308,Infrastructure_Roads,61.17,C,0.7553,1,0.3239
CMP_000309,Textiles_Cotton,149.23,C,0.8406,1,0.5713
CMP_000310,Cement,113.52,BBB,0.3374,0,0.0032
CMP_000311,Manufacturing_General,56.29,BB,0.5249,0,0.0293
CMP_000312,Manufacturing_General,60.59,D,0.9164,1,0.7679
CMP_000313,Agri_Food,16.39,NR,0.3326,0,0.003
CMP_000314,Hospitals_Healthcare,34.98,BBB,0.2696,0,0.0014
CMP_000315,Real_Estate_Residential,82.58,BBB,0.3144,0,0.0024
CMP_000316,Cement,77.88,A,0.2543,0,0.0012
CMP_000317,Manufacturing_General,145.03,NR,0.2043,0,0.0006
CMP_000318,Manufacturing_General,49.58,A,0.169,0,0.0004
CMP_000319,Textiles_Cotton,18.0,BBB,0.22,0,0.0008
CMP_000320,Pharma,127.15,A,0.0974,0,0.0002
CMP_000321,Real_Estate_Residential,172.24,A,0.2283,0,0.0009
CMP_000322,Real_Estate_Residential,112.01,BBB,0.3327,0,0.003
CMP_000323,Textiles_Cotton,47.9,NR,0.5039,0,0.0229
CMP_000324,Chemical,125.9,AA,0.1368,0,0.0003
CMP_000325,Real_Estate_Commercial,500.0,BBB,0.2712,0,0.0014
CMP_000326,Pharma,59.87,AA,0.0827,0,0.0001
CMP_000327,NBFC,19.12,A,0.2893,0,0.0018
CMP_000328,Cement,34.16,BBB,0.2852,0,0.0017
CMP_000329,Textiles_Cotton,90.05,BBB,0.3441,0,0.0034
CMP_000330,Steel_Primary,15.12,A,0.1803,0,0.0005
CMP_000331,Real_Estate_Commercial,62.52,BBB,0.1891,0,0.0005
CMP_000332,Manufacturing_General,74.02,AA,0.0182,0,0.0001
CMP_000333,Manufacturing_General,186.44,BBB,0.2653,0,0.0013
CMP_000334,Manufacturing_General,155.74,NR,0.5767,0,0.0532
CMP_000335,Manufacturing_General,109.03,NR,0.5446,0,0.0368
CMP_000336,FMCG_Distribution,10.0,BBB,0.3548,0,0.0039
CMP_000337,Real_Estate_Residential,114.07,BBB,0.2408,0,0.001
CMP_000338,IT_Services,96.01,C,0.917,0,0.7691
CMP_000339,Manufacturing_General,67.0,AAA,0.0211,0,0.0001
CMP_000340,IT_Services,13.68,B,0.6649,0,0.1393
CMP_000341,IT_Services,29.33,NR,0.4488,0,0.012
CMP_000342,Manufacturing_General,21.47,AA,0.093,0,0.0002
CMP_000343,Cement,10.89,A,0.2469,0,0.0011
CMP_000344,Cement,54.47,NR,0.3654,0,0.0044
CMP_000345,NBFC,28.84,BBB,0.219,0,0.0008
CMP_000346,NBFC,445.97,AAA,0.0506,0,0.0001
CMP_000347,Manufacturing_General,47.7,A,0.16,0,0.0004
CMP_000348,Steel_Primary,153.7,BBB,0.5026,0,0.0226
CMP_000349,NBFC,15.56,BB,0.5274,0,0.0301
CMP_000350,IT_Services,35.73,BB,0.4513,0,0.0123
CMP_000351,FMCG_Distribution,59.0,NR,0.3233,0,0.0027
CMP_000352,Real_Estate_Residential,26.4,A,0.086,0,0.0002
CMP_000353,Manufacturing_General,38.95,BBB,0.2385,0,0.001
CMP_000354,Manufacturing_General,45.86,BBB,0.3069,0,0.0022
CMP_000355,NBFC,45.28,BBB,0.3856,0,0.0056
CMP_000356,Manufacturing_General,240.83,A,0.2361,0,0.0009
CMP_000357,NBFC,73.89,NR,0.4775,0,0.0168
CMP_000358,Chemical,80.13,B,0.6274,0,0.0935
CMP_000359,Pharma,84.08,BBB,0.3161,0,0.0025
CMP_000360,Steel_Primary,89.13,BBB,0.2689,0,0.0014
CMP_000361,NBFC,51.1,A,0.2659,0,0.0013
CMP_000362,IT_Services,42.24,BBB,0.2886,0,0.0018
CMP_000363,Pharma,62.39,BB,0.474,0,0.0161
CMP_000364,Chemical,137.75,BBB,0.1671,0,0.0004
CMP_000365,Steel_Primary,134.42,NR,0.4265,0,0.0092
CMP_000366,Agri_Food,45.05,BB,0.5386,1,0.0343
CMP_000367,FMCG_Distribution,100.91,BBB,0.2359,0,0.0009
CMP_000368,Textiles_Cotton,46.73,BB,0.4274,0,0.0093
CMP_000369,Manufacturing_General,56.1,A,0.2196,0,0.0008
CMP_000370,Manufacturing_General,37.38,BBB,0.2114,0,0.0007
CMP_000371,Manufacturing_General,47.21,BBB,0.3635,0,0.0043
CMP_000372,Manufacturing_General,159.66,BBB,0.2681,0,0.0014
CMP_000373,Real_Estate_Residential,58.79,BB,0.4528,0,0.0125
CMP_000374,Manufacturing_General,60.84,BBB,0.2326,0,0.0009
CMP_000375,Steel_Secondary,17.15,B,0.6765,0,0.1568
CMP_000376,Hospitals_Healthcare,42.63,BBB,0.4476,0,0.0118
CMP_000377,Manufacturing_General,45.01,BBB,0.3469,0,0.0035
CMP_000378,Hospitals_Healthcare,28.13,B,0.5895,1,0.0615
CMP_000379,Steel_Secondary,55.55,A,0.2368,0,0.0009
CMP_000380,Manufacturing_General,38.73,A,0.1642,0,0.0004
CMP_000381,Real_Estate_Residential,58.21,BBB,0.3825,0,0.0054
CMP_000382,NBFC,60.17,A,0.2203,0,0.0008
CMP_000383,FMCG_Distribution,25.42,AAA,0.01,0,0.0001
CMP_000384,Real_Estate_Commercial,39.69,BB,0.4097,0,0.0075
CMP_000385,Hospitals_Healthcare,58.08,BBB,0.3567,0,0.004
CMP_000386,Steel_Secondary,140.81,BBB,0.3091,0,0.0023
CMP_000387,Manufacturing_General,67.05,NR,0.3271,0,0.0028
CMP_000388,Real_Estate_Commercial,32.15,BBB,0.262,0,0.0013
CMP_000389,Hospitals_Healthcare,75.13,B,0.5166,0,0.0266
CMP_000390,Agri_Food,214.01,A,0.1756,0,0.0005
CMP_000391,Cement,113.68,BBB,0.4326,0,0.0099
CMP_000392,Steel_Primary,84.61,B,0.7063,1,0.2102
CMP_000393,Infrastructure_Roads,97.56,BBB,0.4314,0,0.0097
CMP_000394,Steel_Secondary,172.77,BB,0.5418,0,0.0356
CMP_000395,Chemical,129.09,BBB,0.3616,0,0.0042
CMP_000396,FMCG_Distribution,85.92,AA,0.179,0,0.0005
CMP_000397,Cement,128.37,BBB,0.3226,0,0.0027
CMP_000398,Real_Estate_Commercial,22.98,BBB,0.2888,0,0.0018
CMP_000399,Real_Estate_Commercial,16.41,B,0.7223,0,0.2437
CMP_000400,Manufacturing_General,61.91,A,0.2527,0,0.0011
CMP_000401,FMCG_Distribution,57.68,NR,0.3924,0,0.0061
CMP_000402,IT_Services,35.33,NR,0.3634,0,0.0043
CMP_000403,Hospitals_Healthcare,105.71,A,0.1869,0,0.0005
