Company_ID,Sector,Industry_Growth_Rate,Sector_Volatility_Beta,Regulatory_Pressure,Commodity_Exposure_Index,Supply_Chain_Risk_Score,Sector_News_Sentiment,Regulatory_Action_Flag,Default_Flag
CMP_000138,Steel_Primary,0.0203,1.44,Low,0.86,46.4,-0.39,0,0
CMP_000139,Agri_Food,0.014,0.88,Low,1.0,73.5,-1.0,0,1
CMP_000140,Agri_Food,0.0435,1.54,Low,0.97,77.4,-0.57,1,0
CMP_000141,Textiles_Cotton,0.0562,1.37,Medium,0.87,93.6,-0.5,1,0
CMP_000142,IT_Services,0.0381,1.31,Low,0.16,16.1,-0.37,0,0
CMP_000143,Steel_Secondary,0.0231,1.95,Medium,0.86,50.5,-0.54,0,0
CMP_000144,Steel_Secondary,0.059,1.8,Medium,0.93,79.2,-0.65,0,0
CMP_000145,Manufacturing_General,0.0524,1.09,Medium,0.42,59.6,-0.26,0,0
CMP_000146,NBFC,0.0901,1.37,High,0.31,28.1,-0.66,1,0
CMP_000147,IT_Services,0.0229,1.04,Low,0.0,38.1,-0.31,0,0
CMP_000148,Manufacturing_General,0.0589,1.45,Medium,0.56,46.6,0.09,0,0
CMP_000149,Textiles_Cotton,-0.0186,1.23,Medium,0.88,88.1,-0.58,0,0
CMP_000150,FMCG_Distribution,0.0443,0.78,Low,0.5,40.7,0.2,0,0
CMP_000151,Textiles_Cotton,0.0308,1.52,Medium,0.76,77.0,-0.53,0,0
CMP_000152,Manufacturing_General,0.0797,1.57,Medium,0.39,57.1,-0.37,0,1
CMP_000153,IT_Services,0.0725,1.15,Low,0.0,43.1,-0.79,0,0
CMP_000154,Agri_Food,0.0021,1.15,Low,0.9,78.1,-0.14,0,0
CMP_000155,Textiles_Cotton,-0.0094,1.24,Medium,0.88,82.6,-0.52,1,0
CMP_000156,Real_Estate_Residential,0.0765,2.62,High,0.57,71.2,-0.61,0,0
CMP_000157,Infrastructure_Roads,0.0531,0.72,Low,0.43,49.6,0.54,0,0
CMP_000158,Textiles_Cotton,-0.0161,1.07,Medium,0.95,69.9,-0.46,0,0
CMP_000159,Real_Estate_Commercial,0.04,1.45,Medium,0.37,53.0,0.84,0,0
CMP_000160,Steel_Primary,0.022,1.55,Low,0.83,51.4,0.01,0,0
CMP_000161,NBFC,0.1623,1.2,High,0.16,25.6,-0.66,1,0
CMP_000162,NBFC,0.1332,1.51,High,0.16,36.7,-0.84,1,0
CMP_000163,Pharma,0.0553,0.98,Medium,0.52,57.3,-0.44,0,0
CMP_000164,Manufacturing_General,0.0997,1.3,Medium,0.52,29.2,0.01,0,0
CMP_000165,Hospitals_Healthcare,0.1487,0.67,Low,0.17,27.7,0.42,0,0
CMP_000166,Steel_Secondary,0.0124,1.76,Medium,0.99,59.8,-0.5,1,0
CMP_000167,Textiles_Cotton,-0.019,1.87,Medium,1.0,80.1,-0.49,0,0
CMP_000168,Manufacturing_General,0.0249,1.19,Medium,0.39,36.0,-0.24,0,0
CMP_000169,NBFC,0.0811,1.75,High,0.19,27.4,-0.8,1,0
CMP_000170,Real_Estate_Residential,0.0238,1.52,High,0.55,69.0,-0.22,1,0
CMP_000171,Manufacturing_General,0.0937,1.01,Medium,0.54,39.8,-0.32,0,0
CMP_000172,IT_Services,0.0763,0.99,Low,0.17,19.1,-0.31,0,0
CMP_000173,Textiles_Cotton,0.0057,1.04,Medium,0.94,82.2,-0.64,0,0
CMP_000174,NBFC,0.1277,0.93,High,0.03,19.7,-0.87,1,0
CMP_000175,Manufacturing_General,0.0543,1.3,Medium,0.42,38.6,-0.21,0,0
CMP_000176,Real_Estate_Residential,-0.0267,1.86,High,0.49,77.4,-0.41,0,0
CMP_000177,Steel_Primary,0.0365,1.5,Low,0.71,58.3,-0.04,0,0
CMP_000178,Chemical,-0.0178,0.94,Medium,0.76,62.2,-0.31,0,0
CMP_000179,Manufacturing_General,0.0415,1.66,Medium,0.47,55.9,0.04,0,0
CMP_000180,Steel_Secondary,0.0172,1.12,Medium,0.85,61.2,-0.26,1,0
CMP_000181,Manufacturing_General,0.0361,0.95,Medium,0.44,59.5,-0.44,1,1
CMP_000182,Chemical,0.0651,1.15,Medium,0.76,65.4,-0.19,0,0
CMP_000183,FMCG_Distribution,0.0771,0.71,Low,0.51,43.6,0.01,0,0
CMP_000184,Textiles_Cotton,0.039,1.63,Medium,0.92,73.6,-0.4,0,0
CMP_000185,Real_Estate_Residential,0.0449,1.56,High,0.56,73.8,-0.52,1,0
CMP_000186,Hospitals_Healthcare,0.1052,0.52,Low,0.13,36.3,0.21,0,0
CMP_000187,Pharma,0.0562,0.98,Medium,0.49,44.4,-0.44,1,0
CMP_000188,Pharma,0.0866,0.71,Medium,0.52,42.2,0.01,0,0
CMP_000189,Textiles_Cotton,0.0139,1.19,Medium,0.97,69.4,-0.66,0,0
CMP_000190,Manufacturing_General,0.0181,0.76,Medium,0.42,38.6,-0.25,0,0
CMP_000191,FMCG_Distribution,0.0009,0.95,Low,0.5,50.5,0.29,0,0
CMP_000192,FMCG_Distribution,0.0746,0.59,Low,0.66,68.2,0.08,0,0
CMP_000193,NBFC,0.0799,0.98,High,0.06,44.5,-0.68,0,0
CMP_000194,Steel_Secondary,0.0554,2.07,Medium,0.94,43.2,-0.93,0,0
CMP_000195,Steel_Secondary,-0.0295,2.01,Medium,0.98,62.9,-0.42,0,1
CMP_000196,Real_Estate_Commercial,0.0604,1.28,Medium,0.34,60.5,0.35,0,0
CMP_000197,FMCG_Distribution,0.0712,0.57,Low,0.61,47.4,0.32,0,0
CMP_000198,FMCG_Distribution,0.1036,0.94,Low,0.5,52.1,0.33,0,0
CMP_000199,Infrastructure_Roads,0.0748,0.62,Low,0.44,39.4,0.41,0,0
CMP_000200,NBFC,0.141,1.3,High,0.14,32.1,-1.0,1,0
CMP_000201,Manufacturing_General,0.0458,1.19,Medium,0.45,39.0,-0.22,0,0
CMP_000202,Manufacturing_General,0.0371,1.65,Medium,0.52,53.2,-0.05,0,0
CMP_000203,FMCG_Distribution,0.0827,1.04,Low,0.64,70.5,0.06,0,0
CMP_000204,NBFC,0.1461,1.97,High,0.16,36.2,-0.71,0,0
CMP_000205,Manufacturing_General,0.0613,1.02,Medium,0.4,39.2,0.12,1,0
CMP_000206,Manufacturing_General,-0.0186,1.16,Medium,0.4,45.5,-0.37,0,0
CMP_000207,Real_Estate_Residential,0.0067,2.07,High,0.45,63.3,-0.42,0,0
CMP_000208,Manufacturing_General,0.0221,1.12,Medium,0.45,65.8,-0.23,0,0
CMP_000209,Manufacturing_General,0.075,0.7,Medium,0.2,42.3,0.44,0,0
CMP_000210,Pharma,0.0197,0.5,Medium,0.54,62.2,-0.65,0,0
CMP_000211,Real_Estate_Residential,0.0382,1.27,High,0.62,48.1,0.03,0,0
CMP_000212,Real_Estate_Residential,0.0353,1.88,High,0.43,54.9,-0.61,1,0
CMP_000213,Textiles_Cotton,0.0253,1.08,Medium,0.82,65.4,-0.61,0,0
CMP_000214,Real_Estate_Residential,0.058,1.93,High,0.61,80.9,-0.19,1,0
CMP_000215,Textiles_Cotton,-0.0149,1.83,Medium,0.92,85.1,-0.52,0,0
CMP_000216,Steel_Secondary,0.017,1.03,Medium,0.89,53.1,-0.51,0,0
CMP_000217,Real_Estate_Commercial,0.0579,1.78,Medium,0.5,40.0,0.43,1,0
CMP_000218,NBFC,0.1052,1.57,High,0.19,16.4,-0.69,0,0
CMP_000219,Hospitals_Healthcare,0.1056,0.54,Low,0.37,31.5,0.32,1,0
CMP_000220,Real_Estate_Residential,0.0278,2.03,High,0.68,64.7,-0.3,0,0
CMP_000221,Pharma,0.0866,0.73,Medium,0.39,64.2,-0.21,0,0
CMP_000222,Manufacturing_General,0.0329,1.72,Medium,0.39,45.0,-0.2,1,0
CMP_000223,Steel_Primary,0.022,1.21,Low,0.69,56.3,0.02,0,0
CMP_000224,Textiles_Cotton,-0.0008,1.18,Medium,0.76,87.5,-0.52,0,0
CMP_000225,Textiles_Cotton,0.057,1.65,Medium,0.87,87.0,-0.67,0,0
CMP_000226,Agri_Food,0.026,1.27,Low,0.84,82.7,-0.39,0,0
CMP_000227,Cement,0.04,0.88,Low,0.67,39.6,-0.31,0,1
CMP_000228,FMCG_Distribution,0.1313,0.79,Low,0.64,57.2,0.09,0,0
CMP_000229,NBFC,0.094,1.62,High,0.04,8.6,-0.59,1,0
CMP_000230,Infrastructure_Roads,0.0555,0.74,Low,0.41,28.4,0.35,0,0
CMP_000231,IT_Services,-0.004,1.5,Low,0.0,45.6,-0.78,0,0
CMP_000232,Pharma,0.0991,0.7,Medium,0.5,59.0,-0.23,0,0
CMP_000233,IT_Services,0.0678,1.17,Low,0.0,16.0,-0.31,0,0
CMP_000234,Textiles_Cotton,0.0186,2.15,Medium,0.88,79.3,-0.44,0,0
CMP_000235,Real_Estate_Commercial,0.0698,1.19,Medium,0.32,32.0,0.39,0,0
CMP_000236,Steel_Secondary,0.0332,1.25,Medium,0.83,68.4,-0.55,0,0
CMP_000237,Manufacturing_General,0.0383,1.21,Medium,0.39,55.7,-0.49,0,0
CMP_000238,NBFC,0.1375,1.07,High,0.02,20.1,-0.88,1,0
CMP_000239,Manufacturing_General,0.0181,0.83,Medium,0.71,33.6,0.04,0,0
CMP_000240,Chemical,0.0296,0.75,Medium,0.71,76.4,-0.16,0,0
CMP_000241,Chemical,0.0116,0.55,Medium,0.74,58.7,-0.66,1,0
CMP_000242,Chemical,0.0254,1.65,Medium,0.75,54.5,-0.5,0,0
CMP_000243,Steel_Primary,-0.004,1.46,Low,0.78,67.0,-0.21,0,1
CMP_000244,Manufacturing_General,0.056,1.05,Medium,0.48,52.4,-0.11,1,0
CMP_000245,Chemical,0.0048,1.34,Medium,0.77,86.7,-0.29,0,0
CMP_000246,Cement,0.0926,0.71,Low,0.76,52.4,0.17,0,0
CMP_000247,Agri_Food,0.0207,1.38,Low,0.97,87.4,-0.74,0,0
CMP_000248,Agri_Food,0.0136,1.29,Low,1.0,68.7,-0.28,0,0
CMP_000249,FMCG_Distribution,0.0473,1.02,Low,0.62,36.6,0.21,0,0
CMP_000250,Steel_Secondary,0.0215,1.34,Medium,0.82,47.2,-0.68,0,0
CMP_000251,Steel_Primary,0.0967,1.2,Low,0.77,58.4,-0.0,1,0
CMP_000252,FMCG_Distribution,0.0793,0.92,Low,0.5,64.3,-0.61,0,0
CMP_000253,Steel_Secondary,-0.0353,1.94,Medium,1.0,69.7,-0.55,1,0
CMP_000254,Manufacturing_General,0.0303,1.25,Medium,0.5,55.7,0.16,0,1
CMP_000255,Pharma,0.0349,0.81,Medium,0.49,44.8,0.25,0,0
CMP_000256,Chemical,-0.0035,1.04,Medium,0.62,64.3,-0.25,0,0
CMP_000257,Real_Estate_Residential,0.0834,1.5,High,0.45,52.9,-0.19,1,0
CMP_000258,Pharma,0.0541,0.71,Medium,0.3,62.3,-0.02,0,0
CMP_000259,Manufacturing_General,0.0274,0.9,Medium,0.59,43.3,-0.16,0,0
CMP_000260,NBFC,0.1643,1.43,High,0.03,0.0,-0.55,1,0
CMP_000261,Agri_Food,0.0348,1.29,Low,0.88,85.8,-0.52,0,1
CMP_000262,Manufacturing_General,0.0383,0.87,Medium,0.65,49.2,0.04,0,0
CMP_000263,IT_Services,0.0623,1.13,Low,0.01,28.8,-0.57,0,0
CMP_000264,FMCG_Distribution,0.1044,1.03,Low,0.68,42.8,0.14,0,0
CMP_000265,Real_Estate_Commercial,0.0595,1.22,Medium,0.32,37.3,-0.01,0,0
CMP_000266,Real_Estate_Residential,0.0307,0.87,High,0.65,50.0,-0.61,0,0
CMP_000267,Real_Estate_Residential,0.0606,0.88,High,0.51,70.2,-0.27,0,0
CMP_000268,Steel_Primary,0.0118,1.33,Low,0.86,39.7,-0.39,0,0
CMP_000269,Steel_Secondary,0.0531,1.88,Medium,1.0,87.1,-0.42,1,0
CMP_000270,Hospitals_Healthcare,0.129,0.63,Low,0.17,30.9,0.05,0,0
CMP_000271,Hospitals_Healthcare,0.1532,0.79,Low,0.36,21.3,0.11,0,0
CMP_000272,FMCG_Distribution,0.0091,0.75,Low,0.73,29.0,0.08,0,0
CMP_000273,Chemical,0.0014,1.47,Medium,0.71,63.8,-0.78,1,0
CMP_000274,IT_Services,0.0205,1.02,Low,0.0,25.2,-0.53,0,0
CMP_000275,IT_Services,0.0288,1.03,Low,0.0,21.7,-0.42,0,0
CMP_000276,Infrastructure_Roads,0.096,1.27,Low,0.43,14.9,0.37,0,0
CMP_000277,NBFC,0.1644,1.69,High,0.08,34.5,-0.69,0,0
CMP_000278,Real_Estate_Residential,-0.0112,1.87,High,0.54,62.3,-0.4,0,0
CMP_000279,Infrastructure_Roads,0.0726,0.67,Low,0.39,17.6,0.4,0,0
CMP_000280,FMCG_Distribution,0.1002,0.84,Low,0.65,77.1,-0.26,0,0
CMP_000281,Steel_Secondary,0.0284,1.52,Medium,0.96,56.0,-0.3,0,0
CMP_000282,Steel_Primary,0.0945,1.55,Low,0.99,47.6,-0.06,0,0
CMP_000283,Manufacturing_General,0.0261,0.98,Medium,0.57,46.3,-0.32,0,1
CMP_000284,Pharma,0.051,0.67,Medium,0.59,77.8,0.07,0,0
CMP_000285,Manufacturing_General,0.0765,1.69,Medium,0.5,57.3,-0.04,0,0
CMP_000286,IT_Services,0.0198,1.11,Low,0.1,46.3,-0.07,0,0
CMP_000287,Pharma,0.0452,0.72,Medium,0.44,35.2,0.13,0,0
CMP_000288,Steel_Secondary,0.0311,1.31,Medium,0.85,77.5,-0.5,1,0
CMP_000289,NBFC,0.0781,1.23,High,0.15,5.5,-0.9,1,0
CMP_000290,Manufacturing_General,0.0602,0.9,Medium,0.52,62.8,0.14,0,0
CMP_000291,Manufacturing_General,0.0682,0.89,Medium,0.33,34.0,-0.11,0,0
CMP_000292,Hospitals_Healthcare,0.1537,0.7,Low,0.41,27.6,0.36,0,0
CMP_000293,Steel_Primary,0.0135,1.83,Low,0.6,41.5,-0.3,0,0
CMP_000294,Manufacturing_General,0.0976,0.63,Medium,0.49,55.6,0.29,0,0
CMP_000295,Pharma,0.0466,0.7,Medium,0.42,39.0,-0.36,0,0
CMP_000296,Infrastructure_Roads,0.1403,0.59,Low,0.34,23.7,0.43,0,0
CMP_000297,Textiles_Cotton,0.0025,1.25,Medium,0.77,76.5,-0.3,1,0
CMP_000298,NBFC,0.0971,1.25,High,0.1,42.3,-0.77,1,0
CMP_000299,Manufacturing_General,0.0886,1.13,Medium,0.5,57.0,-0.09,0,0
CMP_000300,Manufacturing_General,0.0149,0.97,Medium,0.49,37.9,-0.59,0,0
CMP_000301,Pharma,0.0409,0.92,Medium,0.32,35.0,-0.41,0,0
CMP_000302,Pharma,0.0147,0.92,Medium,0.4,60.4,0.28,1,0
CMP_000303,NBFC,0.1187,1.55,High,0.06,56.5,-1.0,1,0
CMP_000304,Real_Estate_Commercial,0.0915,1.28,Medium,0.29,23.6,0.26,0,0
CMP_000305,Agri_Food,0.0696,0.44,Low,0.99,84.2,-0.3,0,0
CMP_000306,IT_Services,0.0442,1.05,Low,0.0,54.9,-0.63,0,0
CMP_000307,Steel_Secondary,-0.0045,1.02,Medium,0.86,65.4,-0.59,0,0
CMP_000308,Infrastructure_Roads,0.0684,0.6,Low,0.27,46.1,0.43,0,1
