Company_ID,GST_Filing_Delay_Days,GST_vs_Bank_Variance_Pct,GSTR_2A_3B_ITC_Mismatch_Pct,Historical_Defaults,Rating_Downgrades_Count,Payment_Delays_Days,Tax_Compliance_Score,Round_Trip_Transaction_Count,Cash_Deposit_Ratio,GST_Scrutiny_Notice_Flag,Default_Flag
CMP_000199,23,0.0446,0.0242,0,0,26,0.89,0,0.075,0,0
CMP_000200,1,0.0166,0.0017,0,0,112,0.9,0,0.458,0,0
CMP_000201,2,0.1375,0.0752,0,0,2,0.85,0,0.27,0,0
CMP_000202,0,0.1127,0.0675,0,1,18,0.87,0,0.162,0,0
CMP_000203,7,0.1078,0.0438,0,1,9,0.92,1,0.604,0,0
CMP_000204,2,0.0397,0.0736,0,0,25,0.87,0,0.673,0,0
CMP_000205,1,0.072,0.0065,0,0,4,0.96,0,0.332,0,0
CMP_000206,0,0.0789,0.0987,1,1,35,0.79,0,0.223,0,0
CMP_000207,7,0.0234,0.0816,0,0,15,0.89,0,0.406,0,0
CMP_000208,0,0.4248,0.2694,0,2,209,0.65,0,0.32,0,0
CMP_000209,0,0.0876,0.072,0,0,6,1.0,0,0.145,0,0
CMP_000210,7,0.0489,0.04,0,0,26,0.91,0,0.132,0,0
CMP_000211,3,0.0874,0.1116,0,0,36,0.97,0,0.229,0,0
CMP_000212,1,0.0229,0.0478,0,0,33,0.91,0,0.381,0,0
CMP_000213,2,0.0501,0.0134,0,0,25,0.9,0,0.182,0,0
CMP_000214,0,0.0541,0.0575,0,0,12,0.87,0,0.238,0,0
CMP_000215,3,0.0197,0.0108,0,0,30,0.81,0,0.257,0,0
CMP_000216,2,0.0144,0.0717,0,0,4,0.91,0,0.327,0,0
CMP_000217,2,0.0067,0.0272,1,1,21,0.92,1,0.144,0,0
CMP_000218,0,0.0113,0.0346,0,0,32,0.94,0,0.62,0,0
CMP_000219,9,0.1231,0.0475,0,0,145,0.94,0,0.414,0,0
CMP_000220,31,0.0211,0.0306,0,0,44,0.94,0,0.297,0,0
CMP_000221,2,0.0486,0.0888,0,0,112,0.92,0,0.127,0,0
CMP_000222,147,0.0561,0.0315,0,0,0,0.67,1,0.214,1,0
CMP_000223,0,0.04,0.0555,0,0,61,0.83,0,0.134,0,0
CMP_000224,1,0.085,0.0568,0,0,35,0.87,0,0.331,0,0
CMP_000225,0,0.039,0.0413,0,0,47,0.97,0,0.191,0,0
CMP_000226,42,0.0881,0.0163,0,0,27,0.78,0,0.283,1,0
CMP_000227,0,0.3239,0.0284,1,1,21,0.72,0,0.237,0,1
CMP_000228,12,0.0041,0.0732,0,0,15,0.89,0,0.555,0,0
CMP_000229,0,0.0965,0.0472,0,0,38,0.97,0,0.604,0,0
CMP_000230,0,0.1012,0.0391,0,0,46,0.91,0,0.163,0,0
CMP_000231,3,0.0216,0.0608,0,1,34,0.93,0,0.107,0,0
CMP_000232,38,0.1483,0.0613,0,0,26,0.7,0,0.168,0,0
CMP_000233,0,0.1028,0.0787,0,0,70,0.86,0,0.099,0,0
CMP_000234,1,0.1151,0.0206,0,0,85,0.95,0,0.199,0,0
CMP_000235,0,0.0938,0.0746,0,0,38,0.93,1,0.116,0,0
CMP_000236,20,0.0659,0.0421,0,0,12,0.89,0,0.261,0,0
CMP_000237,3,0.1769,0.06,0,1,23,0.82,0,0.245,0,0
CMP_000238,3,0.0222,0.0732,0,0,71,0.97,0,0.458,0,0
CMP_000239,0,0.0163,0.0529,0,0,26,0.95,0,0.293,0,0
CMP_000240,0,0.0254,0.0054,0,0,46,0.87,0,0.138,0,0
CMP_000241,2,0.0032,0.0479,0,1,96,0.92,0,0.164,0,0
CMP_000242,8,0.0495,0.0652,0,0,149,0.89,0,0.188,0,0
CMP_000243,62,0.4344,0.0439,1,2,175,0.45,2,0.169,1,1
CMP_000244,2,0.1247,0.078,0,0,15,0.73,0,0.132,0,0
CMP_000245,2,0.0685,0.0733,0,0,4,0.86,0,0.188,0,0
CMP_000246,3,0.0598,0.0479,0,0,43,0.77,0,0.323,0,0
CMP_000247,0,0.2368,0.0267,0,1,100,0.75,0,0.663,0,0
CMP_000248,0,0.0718,0.045,0,0,86,0.88,0,0.443,0,0
CMP_000249,3,0.0473,0.0284,0,0,43,0.94,0,0.458,0,0
CMP_000250,70,0.0212,0.0245,0,0,5,0.69,0,0.161,0,0
CMP_000251,1,0.0901,0.1018,0,1,18,0.88,0,0.245,0,0
CMP_000252,0,0.1284,0.1028,0,1,0,0.79,0,0.639,0,0
CMP_000253,3,0.1322,0.0364,0,0,69,0.92,0,0.224,0,0
CMP_000254,3,0.3327,0.0827,0,1,5,0.74,0,0.216,1,1
CMP_000255,0,0.0046,0.025,0,1,37,0.92,0,0.078,0,0
CMP_000256,3,0.0546,0.0205,0,0,20,0.9,0,0.241,0,0
CMP_000257,30,0.0018,0.0606,0,0,23,0.92,0,0.425,0,0
CMP_000258,0,0.1302,0.0755,0,0,14,0.91,0,0.071,0,0
CMP_000259,3,0.0607,0.0422,1,1,73,0.88,0,0.186,0,0
CMP_000260,22,0.0946,0.0019,0,0,14,0.82,0,0.692,0,0
CMP_000261,0,0.3563,0.0734,0,1,102,0.63,0,0.512,0,1
CMP_000262,0,0.0227,0.0758,0,0,21,0.97,0,0.237,0,0
CMP_000263,3,0.0631,0.0658,0,0,17,0.89,0,0.085,0,0
CMP_000264,2,0.0602,0.0869,0,0,30,0.91,0,0.493,0,0
CMP_000265,3,0.17,0.0656,0,0,28,0.81,0,0.147,0,0
CMP_000266,164,0.1306,0.0717,0,0,41,0.46,0,0.37,0,0
CMP_000267,0,0.0233,0.0133,0,0,108,0.86,0,0.301,0,0
CMP_000268,0,0.1536,0.0469,0,1,24,0.78,0,0.139,0,0
CMP_000269,3,0.0726,0.0526,0,0,71,0.93,0,0.347,0,0
CMP_000270,0,0.0128,0.1099,0,0,72,0.93,0,0.298,0,0
CMP_000271,3,0.0422,0.0257,0,0,3,0.87,0,0.437,1,0
CMP_000272,0,0.0737,0.0667,0,1,34,0.9,0,0.482,0,0
CMP_000273,0,0.1424,0.0567,0,0,8,0.76,0,0.218,0,0
CMP_000274,10,0.0673,0.0622,0,0,62,0.9,0,0.049,1,0
CMP_000275,0,0.1028,0.0007,0,0,17,0.93,0,0.053,0,0
CMP_000276,0,0.085,0.046,0,0,28,0.89,2,0.093,0,0
CMP_000277,0,0.1017,0.0964,0,0,34,0.9,1,0.604,0,0
CMP_000278,2,0.167,0.0056,0,0,45,0.8,1,0.25,0,0
CMP_000279,2,0.0558,0.0616,0,0,158,0.89,0,0.048,0,0
CMP_000280,10,0.001,0.0226,0,0,22,0.92,0,0.417,0,0
CMP_000281,8,0.1116,0.0904,0,1,82,0.9,0,0.191,0,0
CMP_000282,0,0.0416,0.0652,0,0,135,0.92,0,0.213,0,0
CMP_000283,28,0.2315,0.175,0,4,94,0.64,3,0.25,1,1
CMP_000284,0,0.0755,0.0188,0,0,74,0.92,0,0.122,0,0
CMP_000285,13,0.0234,0.0147,1,1,2,0.83,0,0.121,0,0
CMP_000286,0,0.0757,0.0439,0,0,10,0.81,0,0.01,0,0
CMP_000287,3,0.0248,0.0134,0,0,38,0.95,0,0.173,0,0
CMP_000288,0,0.0237,0.0137,0,0,113,0.9,0,0.33,0,0
CMP_000289,3,0.2361,0.0285,0,0,3,0.79,0,0.683,0,0
CMP_000290,0,0.0467,0.0586,0,0,62,0.93,0,0.251,0,0
CMP_000291,1,0.0244,0.0097,0,0,7,0.88,0,0.266,0,0
CMP_000292,3,0.0481,0.035,0,0,19,0.87,1,0.268,0,0
CMP_000293,11,0.0841,0.0059,0,0,56,0.91,0,0.141,0,0
CMP_000294,3,0.0056,0.0674,0,1,9,0.85,0,0.267,0,0
CMP_000295,10,0.0546,0.0869,0,1,40,0.95,0,0.066,0,0
CMP_000296,0,0.0319,0.063,0,0,76,0.99,0,0.116,0,0
CMP_000297,9,0.1362,0.0717,0,0,64,0.79,0,0.299,0,0
CMP_000298,3,0.0512,0.1213,0,0,1,0.83,0,0.605,0,0
CMP_000299,0,0.0428,0.0245,0,0,32,1.0,0,0.228,0,0
CMP_000300,0,0.0445,0.0467,0,1,7,0.95,0,0.384,0,0
CMP_000301,1,0.001,0.0363,0,0,6,1.0,0,0.071,0,0
CMP_000302,0,0.2319,0.0527,0,0,23,0.8,1,0.11,1,0
CMP_000303,0,0.3132,0.0237,0,4,92,0.74,0,0.663,1,0
CMP_000304,2,0.0869,0.0053,0,0,4,0.99,0,0.122,0,0
CMP_000305,142,0.0358,0.0642,0,0,38,0.55,0,0.575,1,0
CMP_000306,1,0.0586,0.0088,0,0,94,0.85,0,0.069,0,0
CMP_000307,2,0.0019,0.0593,0,0,35,0.96,0,0.306,0,0
CMP_000308,3,0.2288,0.2419,0,1,23,0.72,0,0.084,0,1
CMP_000309,2,0.2081,0.0584,0,0,28,0.72,0,0.672,1,1
CMP_000310,58,0.0619,0.0059,0,0,191,0.73,0,0.226,1,0
CMP_000311,0,0.2224,0.0057,0,1,5,0.79,0,0.193,1,0
CMP_000312,0,0.3523,0.0448,1,2,36,0.63,0,0.417,1,1
CMP_000313,2,0.1225,0.0115,0,0,83,0.89,0,0.563,0,0
CMP_000314,23,0.0818,0.0358,0,1,14,0.89,0,0.436,0,0
CMP_000315,3,0.0668,0.0252,0,0,78,0.83,0,0.33,1,0
CMP_000316,3,0.0131,0.0646,0,0,37,0.98,0,0.209,0,0
CMP_000317,0,0.0629,0.0722,0,0,22,0.93,0,0.214,0,0
CMP_000318,0,0.031,0.0014,0,0,92,0.98,0,0.199,0,0
CMP_000319,66,0.0833,0.0335,0,1,25,0.76,0,0.369,1,0
CMP_000320,2,0.0044,0.0157,0,0,109,1.0,0,0.059,0,0
CMP_000321,62,0.0457,0.0478,0,0,2,0.82,0,0.314,0,0
CMP_000322,19,0.0507,0.0341,0,0,1,0.87,0,0.258,0,0
CMP_000323,0,0.2272,0.004,0,0,5,0.8,0,0.371,0,0
CMP_000324,36,0.0091,0.0245,0,0,4,0.9,0,0.172,1,0
CMP_000325,83,0.0967,0.0591,0,0,10,0.79,0,0.14,1,0
CMP_000326,0,0.0829,0.0196,0,0,16,0.99,0,0.061,0,0
CMP_000327,1,0.0398,0.0694,0,0,68,0.94,0,0.57,1,0
CMP_000328,0,0.0664,0.0046,0,0,20,0.88,0,0.144,0,0
CMP_000329,0,0.04,0.0348,0,1,8,0.88,0,0.254,0,0
CMP_000330,0,0.0506,0.0173,0,0,1,0.91,0,0.235,0,0
CMP_000331,6,0.0801,0.0734,0,0,29,0.86,0,0.073,0,0
CMP_000332,1,0.1518,0.0851,0,0,7,0.97,0,0.149,0,0
CMP_000333,2,0.0886,0.0659,0,1,17,0.9,0,0.201,0,0
CMP_000334,118,0.1349,0.081,0,1,14,0.56,0,0.306,1,0
CMP_000335,24,0.2054,0.036,1,2,27,0.67,0,0.25,0,0
CMP_000336,1,0.0068,0.0129,0,0,158,0.88,0,0.533,0,0
CMP_000337,1,0.0338,0.0264,0,1,140,0.92,0,0.35,0,0
CMP_000338,0,0.2854,0.1901,0,2,86,0.62,0,0.049,0,0
CMP_000339,0,0.0085,0.0848,0,0,7,0.95,0,0.319,0,0
CMP_000340,0,0.0875,0.0416,1,1,111,0.76,0,0.118,0,0
CMP_000341,0,0.0206,0.0101,0,0,0,0.9,0,0.05,0,0
CMP_000342,2,0.0011,0.0109,0,0,23,0.87,0,0.158,0,0
CMP_000343,0,0.0402,0.0403,0,1,81,0.92,0,0.28,0,0
CMP_000344,2,0.0124,0.0465,0,0,24,0.96,0,0.24,0,0
CMP_000345,0,0.0668,0.0072,0,0,10,0.96,0,0.611,0,0
CMP_000346,1,0.0607,0.029,0,0,29,1.0,0,0.457,0,0
CMP_000347,2,0.0643,0.0436,0,0,60,0.92,0,0.205,0,0
CMP_000348,2,0.0897,0.0077,0,0,56,0.92,0,0.187,0,0
CMP_000349,2,0.1849,0.058,0,0,15,0.78,0,0.593,0,0
CMP_000350,26,0.15,0.0896,0,0,6,0.79,1,0.03,0,0
CMP_000351,113,0.059,0.0384,1,0,13,0.67,0,0.518,0,0
