Company_ID,Sector,Revenue_Crore,Credit_Rating,Revenue_Growth_YoY,EBITDA_Margin,Net_Profit_Margin,Debt_to_Equity,Interest_Coverage_Ratio,Current_Ratio,DSCR,Cash_Flow_Stability_Index,Default_Flag
CMP_000103,IT_Services,26.16,BBB,0.0093,0.1514,0.0291,0.5,6.13,1.44,1.47,0.63,0
CMP_000104,FMCG_Distribution,48.49,BBB,0.0732,0.0649,0.0028,1.38,4.25,1.51,1.39,0.47,0
CMP_000105,Textiles_Cotton,26.86,AA,0.0889,0.1455,0.0587,2.01,5.61,1.64,1.42,0.42,0
CMP_000106,Cement,28.43,BBB,0.049,0.1099,0.0226,0.6,3.55,1.37,1.82,0.38,0
CMP_000107,Real_Estate_Commercial,41.27,AA,0.1341,0.2342,0.1312,1.49,6.21,1.68,1.88,0.69,0
CMP_000108,Textiles_Cotton,91.8,BB,0.1301,0.056,-0.0046,1.64,3.46,1.77,1.02,0.2,0
CMP_000109,Manufacturing_General,41.51,NR,0.0893,0.0109,-0.0903,4.96,3.71,1.19,0.7,0.34,0
CMP_000110,Steel_Secondary,129.38,NR,0.0808,-0.0007,-0.0331,3.43,4.62,1.45,0.89,0.25,0
CMP_000111,Manufacturing_General,24.58,B,0.0625,0.0998,-0.0247,2.5,2.93,1.15,0.53,0.18,0
CMP_000112,Chemical,20.05,BBB,0.1449,0.0998,-0.0241,0.21,5.38,1.43,0.55,0.38,0
CMP_000113,Hospitals_Healthcare,254.95,BB,0.0828,0.1367,0.0591,0.76,3.53,1.77,1.32,0.57,0
CMP_000114,NBFC,32.25,A,0.0605,0.2156,0.1281,5.05,5.51,1.36,1.08,0.45,0
CMP_000115,FMCG_Distribution,19.13,BB,0.0583,-0.0022,-0.0822,1.84,4.67,1.3,1.3,0.48,0
CMP_000116,Hospitals_Healthcare,13.55,BBB,0.0994,0.1923,0.0923,1.14,5.07,1.41,1.25,0.71,0
CMP_000117,Textiles_Cotton,129.03,BBB,0.0347,0.0506,-0.0234,2.16,5.18,1.8,2.19,0.45,0
CMP_000118,FMCG_Distribution,41.55,BB,0.0258,-0.0161,-0.1278,1.33,5.7,1.31,0.87,0.38,0
CMP_000119,Pharma,44.57,A,0.1211,0.1697,0.0766,1.3,5.01,2.0,1.57,0.62,0
CMP_000120,Hospitals_Healthcare,48.07,BBB,0.0114,0.2096,0.0806,1.27,4.95,1.95,1.49,0.84,0
CMP_000121,FMCG_Distribution,122.78,D,-0.0423,-0.0463,-0.1732,2.47,3.21,1.0,1.04,0.28,0
CMP_000122,Steel_Secondary,47.29,AA,0.0902,0.0541,-0.0004,3.42,6.2,2.08,1.18,0.6,0
CMP_000123,Manufacturing_General,356.11,BBB,0.0899,0.0826,0.029,1.01,6.51,1.89,0.94,0.56,0
CMP_000124,Textiles_Cotton,60.76,C,-0.0175,0.0176,-0.0702,1.49,3.54,1.01,0.1,0.1,0
CMP_000125,Cement,127.67,BB,0.0479,0.1168,-0.0411,1.13,3.34,1.65,1.48,0.34,0
CMP_000126,Hospitals_Healthcare,103.98,BBB,0.123,0.2207,0.099,1.66,5.6,1.75,1.89,0.62,0
CMP_000127,FMCG_Distribution,53.03,A,0.0844,0.0576,-0.0084,1.11,3.7,1.85,1.56,0.65,0
CMP_000128,Manufacturing_General,34.14,BBB,0.1173,0.11,0.0482,2.35,4.95,1.58,1.28,0.78,0
CMP_000129,IT_Services,71.21,B,-0.0193,0.1361,0.0276,1.59,3.85,1.0,1.47,0.54,0
CMP_000130,Cement,82.11,BBB,0.0401,0.1267,0.0506,1.62,4.48,1.34,1.72,0.52,0
CMP_000131,Textiles_Cotton,34.53,BBB,0.0949,0.0462,-0.0307,2.69,4.24,0.56,0.96,0.34,0
CMP_000132,Manufacturing_General,62.37,AA,0.0991,0.1371,0.0305,3.49,3.54,1.54,1.86,0.58,0
CMP_000133,Steel_Secondary,146.78,AAA,0.0452,0.0532,-0.0439,1.94,4.37,2.51,1.18,0.41,0
CMP_000134,Chemical,285.99,NR,0.0269,0.0828,-0.0264,2.65,4.97,1.72,1.08,0.25,0
CMP_000135,Steel_Secondary,108.15,BBB,0.1207,-0.0051,-0.11,3.04,2.57,1.57,1.03,0.18,0
CMP_000136,IT_Services,242.31,BBB,0.0123,0.2112,0.0884,0.66,4.66,1.96,2.64,0.73,0
CMP_000137,Real_Estate_Residential,33.0,AA,0.133,0.1687,0.0897,2.1,4.89,1.78,1.79,0.53,0
CMP_000138,Steel_Primary,95.73,BB,0.0335,0.0806,-0.0312,3.24,2.47,1.32,1.2,0.43,0
CMP_000139,Agri_Food,159.3,NR,0.0278,-0.0011,-0.0886,2.53,4.8,1.1,0.59,0.13,1
CMP_000140,Agri_Food,26.65,BBB,0.083,0.0797,-0.0089,1.55,3.71,1.41,0.63,0.32,0
CMP_000141,Textiles_Cotton,37.02,A,-0.0011,0.0522,-0.0168,1.32,5.26,1.55,1.46,0.4,0
CMP_000142,IT_Services,219.27,BBB,-0.0099,0.1805,0.0641,0.87,4.34,1.68,1.21,0.65,0
CMP_000143,Steel_Secondary,25.03,BB,0.0488,0.0109,-0.0455,2.13,3.21,1.37,1.39,0.22,0
CMP_000144,Steel_Secondary,18.67,BBB,0.0353,0.0088,-0.0582,2.91,4.17,1.91,1.25,0.17,0
CMP_000145,Manufacturing_General,185.38,B,0.0693,0.0536,0.0042,2.59,3.2,1.48,0.62,0.27,0
CMP_000146,NBFC,142.23,BB,-0.0078,0.2003,0.0407,3.97,4.01,1.05,1.44,0.36,0
CMP_000147,IT_Services,77.15,C,0.0149,0.144,0.0637,0.6,2.68,1.04,1.75,0.46,0
CMP_000148,Manufacturing_General,52.64,BB,0.006,0.0701,-0.0457,1.1,3.47,1.2,1.39,0.39,0
CMP_000149,Textiles_Cotton,38.44,A,0.0675,0.0876,-0.0297,1.24,5.59,0.99,1.08,0.46,0
CMP_000150,FMCG_Distribution,68.41,BBB,0.0339,0.0699,-0.0198,0.63,4.67,1.69,1.58,0.6,0
CMP_000151,Textiles_Cotton,193.22,A,0.164,0.122,0.0039,2.45,4.9,1.94,0.7,0.46,0
CMP_000152,Manufacturing_General,66.08,C,-0.033,0.032,-0.0326,7.39,2.55,1.13,0.86,0.23,1
CMP_000153,IT_Services,309.07,BB,0.0205,0.1602,0.0458,0.69,5.4,1.58,1.49,0.45,0
CMP_000154,Agri_Food,26.62,BB,-0.0133,0.0486,-0.0741,1.72,4.07,1.36,0.88,0.21,0
CMP_000155,Textiles_Cotton,53.75,BBB,0.1312,0.1078,0.0182,1.63,2.91,1.28,0.79,0.38,0
CMP_000156,Real_Estate_Residential,40.51,A,0.0977,0.2006,0.0803,4.13,5.01,1.61,0.85,0.38,0
CMP_000157,Infrastructure_Roads,22.92,BB,0.0595,0.3226,0.1785,4.21,3.49,1.82,1.56,0.62,0
CMP_000158,Textiles_Cotton,48.3,BBB,0.1279,0.0487,-0.0364,2.2,5.2,1.69,0.53,0.25,0
CMP_000159,Real_Estate_Commercial,76.24,A,0.0929,0.2361,0.0834,1.17,5.75,1.34,1.96,0.66,0
CMP_000160,Steel_Primary,83.05,BB,0.06,0.091,-0.0187,1.17,4.77,1.45,0.78,0.38,0
CMP_000161,NBFC,309.93,AA,0.0947,0.2498,0.1497,3.88,4.62,2.15,1.77,0.54,0
CMP_000162,NBFC,79.17,BBB,0.1016,0.1877,0.0538,4.29,4.64,1.9,1.36,0.47,0
CMP_000163,Pharma,137.02,BBB,0.0443,0.1694,0.0849,1.32,4.55,1.9,0.91,0.42,0
CMP_000164,Manufacturing_General,57.56,A,0.0778,0.0966,-0.026,2.1,5.62,1.35,1.56,0.66,0
CMP_000165,Hospitals_Healthcare,209.02,NR,0.0863,0.155,0.0082,1.06,3.27,1.47,1.17,0.6,0
CMP_000166,Steel_Secondary,371.95,A,0.0873,0.036,-0.0785,2.61,4.73,1.56,1.15,0.43,0
CMP_000167,Textiles_Cotton,83.5,A,0.0728,0.125,0.0035,2.38,6.18,1.84,0.64,0.23,0
CMP_000168,Manufacturing_General,24.68,A,0.0258,0.1018,0.005,0.97,4.37,1.48,1.88,0.68,0
CMP_000169,NBFC,35.2,BB,0.1145,0.0886,-0.0183,3.75,4.09,1.2,0.29,0.48,0
CMP_000170,Real_Estate_Residential,68.41,BBB,0.0379,0.0746,-0.0105,4.33,6.45,1.54,0.62,0.34,0
CMP_000171,Manufacturing_General,78.67,BBB,0.1054,0.0981,0.0116,1.0,4.21,1.3,0.81,0.52,0
CMP_000172,IT_Services,95.46,AAA,0.0739,0.1744,0.0662,1.88,3.94,1.94,2.34,0.8,0
CMP_000173,Textiles_Cotton,78.9,AA,0.0414,0.0832,-0.0035,2.48,5.03,1.26,1.1,0.48,0
CMP_000174,NBFC,54.9,BBB,0.1325,0.1993,0.0777,3.73,6.15,2.05,1.18,0.49,0
CMP_000175,Manufacturing_General,32.82,B,0.0441,-0.0228,-0.1035,2.02,4.44,0.46,0.7,0.28,0
CMP_000176,Real_Estate_Residential,75.26,C,0.0719,0.067,-0.0445,6.59,2.43,1.34,0.1,0.02,0
CMP_000177,Steel_Primary,240.81,AA,0.0782,0.1084,-0.0049,1.14,5.22,1.59,1.43,0.52,0
CMP_000178,Chemical,123.46,BBB,0.096,0.0564,-0.0459,1.53,4.31,1.17,0.69,0.42,0
CMP_000179,Manufacturing_General,83.74,C,-0.0605,-0.0021,-0.0485,5.73,3.65,1.05,0.1,0.18,0
CMP_000180,Steel_Secondary,124.42,BBB,0.0542,0.0026,-0.0586,1.73,4.11,1.89,1.27,0.24,0
CMP_000181,Manufacturing_General,40.57,B,-0.0239,0.0565,-0.021,2.59,3.82,1.49,0.4,0.2,1
CMP_000182,Chemical,36.36,A,0.0697,0.1575,0.0516,1.1,6.39,2.06,1.94,0.41,0
CMP_000183,FMCG_Distribution,30.02,NR,0.0645,0.0075,-0.0351,1.42,1.8,1.12,1.61,0.45,0
CMP_000184,Textiles_Cotton,49.39,BB,0.038,0.0528,-0.058,3.23,4.78,1.58,1.35,0.26,0
CMP_000185,Real_Estate_Residential,38.95,NR,0.0867,0.106,0.0318,8.23,5.11,0.92,0.36,0.21,0
CMP_000186,Hospitals_Healthcare,143.54,BB,0.0316,0.1508,0.0597,1.11,3.15,1.58,2.35,0.52,0
CMP_000187,Pharma,37.33,BBB,0.107,0.1023,-0.001,0.65,3.96,1.71,0.6,0.58,0
CMP_000188,Pharma,28.73,NR,0.1021,0.0653,0.0137,1.33,3.68,1.29,0.99,0.45,0
CMP_000189,Textiles_Cotton,258.28,A,0.1251,0.0613,-0.019,1.4,4.28,1.23,1.53,0.5,0
CMP_000190,Manufacturing_General,38.05,BBB,0.0625,0.1505,0.0152,1.62,4.01,1.5,1.64,0.58,0
CMP_000191,FMCG_Distribution,61.73,BB,-0.0389,0.0015,-0.0782,1.59,3.6,1.89,0.86,0.46,0
CMP_000192,FMCG_Distribution,78.34,BB,0.076,-0.0356,-0.1214,3.31,4.75,1.54,0.9,0.58,0
CMP_000193,NBFC,21.99,D,0.0025,0.0914,-0.0478,5.81,4.13,0.84,0.49,0.14,0
CMP_000194,Steel_Secondary,146.7,A,0.0427,0.0013,-0.0537,0.62,5.84,1.67,1.09,0.49,0
CMP_000195,Steel_Secondary,90.89,B,-0.0057,-0.044,-0.1313,3.12,3.96,1.17,0.36,0.03,1
CMP_000196,Real_Estate_Commercial,189.94,BB,0.1013,0.1913,0.0799,3.34,5.31,0.91,1.94,0.43,0
CMP_000197,FMCG_Distribution,31.71,AA,0.0399,0.0635,0.007,0.6,6.51,1.33,1.23,0.61,0
CMP_000198,FMCG_Distribution,59.1,BBB,0.0861,0.04,-0.0083,1.18,4.57,1.37,1.82,0.49,0
CMP_000199,Infrastructure_Roads,56.34,A,0.0899,0.3125,0.1633,3.02,5.92,1.57,1.58,0.74,0
CMP_000200,NBFC,67.43,BBB,0.0701,0.1576,0.0329,4.17,5.2,2.25,1.62,0.52,0
CMP_000201,Manufacturing_General,17.05,NR,0.0889,0.0835,-0.026,2.69,4.16,1.55,0.62,0.48,0
CMP_000202,Manufacturing_General,59.66,BB,0.1207,0.107,0.0121,1.85,4.09,1.31,1.56,0.5,0
CMP_000203,FMCG_Distribution,17.44,BB,0.0533,0.0744,-0.0231,1.38,5.19,1.57,1.63,0.39,0
CMP_000204,NBFC,72.72,NR,0.0592,0.1755,0.0575,2.07,5.64,1.02,0.89,0.5,0
CMP_000205,Manufacturing_General,10.0,BBB,0.1068,0.1044,-0.0229,0.96,5.26,1.47,1.73,0.61,0
CMP_000206,Manufacturing_General,12.41,B,0.072,0.0673,-0.0231,1.91,3.31,1.04,0.38,0.44,0
CMP_000207,Real_Estate_Residential,105.09,BBB,0.06,0.1978,0.0733,1.69,3.99,1.27,0.77,0.23,0
CMP_000208,Manufacturing_General,35.25,B,0.015,0.0281,-0.0817,2.42,1.95,1.52,1.36,0.38,0
CMP_000209,Manufacturing_General,24.77,A,-0.0088,0.1267,0.0386,1.33,5.04,1.88,1.3,0.53,0
CMP_000210,Pharma,150.91,NR,0.0354,0.1102,0.0037,1.06,4.65,1.23,1.39,0.5,0
CMP_000211,Real_Estate_Residential,70.96,A,0.0461,0.1832,0.0831,3.87,4.21,1.46,1.86,0.43,0
CMP_000212,Real_Estate_Residential,109.69,BBB,0.1079,0.1955,0.1076,2.72,5.14,1.35,0.25,0.39,0
CMP_000213,Textiles_Cotton,47.8,BB,0.0511,0.0338,-0.0221,1.31,4.64,1.46,0.93,0.27,0
CMP_000214,Real_Estate_Residential,465.78,BBB,0.064,0.1294,-0.0116,1.95,3.45,1.71,1.05,0.33,0
CMP_000215,Textiles_Cotton,33.66,BBB,0.0706,0.102,0.0278,3.31,4.27,1.73,0.79,0.33,0
CMP_000216,Steel_Secondary,220.43,BBB,0.0413,0.0386,-0.0055,2.46,5.78,1.38,1.55,0.4,0
CMP_000217,Real_Estate_Commercial,51.98,BB,0.1118,0.2306,0.0673,4.67,3.48,1.35,1.22,0.49,0
CMP_000218,NBFC,14.53,A,0.1351,0.2252,0.1015,5.33,4.84,1.72,0.93,0.54,0
CMP_000219,Hospitals_Healthcare,80.34,AA,0.1547,0.2027,0.0833,1.2,5.13,2.13,0.82,0.83,0
CMP_000220,Real_Estate_Residential,70.23,BBB,0.0905,0.2238,0.0948,6.58,4.31,1.75,1.47,0.26,0
CMP_000221,Pharma,23.55,BBB,0.0759,0.1516,0.0014,2.38,5.23,1.27,1.46,0.64,0
CMP_000222,Manufacturing_General,26.11,A,0.1445,0.0142,-0.0344,0.65,5.5,1.17,1.24,0.76,0
CMP_000223,Steel_Primary,53.53,BBB,0.0428,0.112,0.0048,1.57,5.51,1.57,1.3,0.32,0
CMP_000224,Textiles_Cotton,72.23,BBB,0.0372,0.0677,-0.0148,1.6,4.3,1.44,1.55,0.27,0
CMP_000225,Textiles_Cotton,10.0,AA,0.0624,0.1166,0.0337,1.67,5.33,1.5,1.84,0.36,0
CMP_000226,Agri_Food,126.79,BBB,0.0856,0.0414,-0.0328,1.26,5.04,1.34,0.35,0.17,0
CMP_000227,Cement,36.76,C,-0.0068,0.0804,-0.0596,1.33,3.25,1.3,0.85,0.36,1
CMP_000228,FMCG_Distribution,18.81,A,0.0767,0.0707,-0.0275,1.41,4.25,1.31,1.05,0.42,0
