Company_ID,Sector,Credit_Rating,Score_Financial_Health,Score_Credit_Behaviour,Score_External_Risk,Score_Text_Signals,Final_Score,PD_Meta,Decision,Loan_Limit_Crore,Interest_Rate_Pct,Actual_Default
CMP_000032,Manufacturing_General,BBB,39.05,29.34,19.25,9.86,97.5,0.0,APPROVE,81.28,10.0,0
CMP_000033,Chemical,BBB,39.05,29.35,19.18,9.86,97.44,0.0,APPROVE,37.95,10.0,0
CMP_000034,Agri_Food,A,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,94.66,10.0,0
CMP_000035,Hospitals_Healthcare,BBB,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,13.24,10.0,0
CMP_000036,Steel_Secondary,BB,39.04,29.34,19.25,9.84,97.47,0.0,APPROVE,82.73,10.0,0
CMP_000037,Manufacturing_General,NR,13.55,14.21,14.6,4.4,46.76,1.0,REJECT,0.0,,1
CMP_000038,Real_Estate_Residential,BB,39.05,29.07,19.24,8.77,96.13,0.0,APPROVE,7.6,10.0,0
CMP_000039,IT_Services,D,11.47,8.82,14.6,5.97,40.86,1.0,REJECT,0.0,,1
CMP_000040,Manufacturing_General,BB,39.05,29.34,19.08,9.85,97.32,0.0,APPROVE,41.19,10.0,0
CMP_000041,IT_Services,BBB,39.04,29.35,19.24,9.85,97.48,0.0,APPROVE,52.3,10.0,0
CMP_000042,Manufacturing_General,A,39.05,29.35,19.21,9.86,97.47,0.0,APPROVE,19.13,10.0,0
CMP_000043,FMCG_Distribution,BB,39.03,29.3,19.21,9.86,97.4,0.0,APPROVE,106.01,10.0,0
CMP_000044,Textiles_Cotton,BB,39.04,29.24,19.24,9.27,96.79,0.0,APPROVE,14.8,10.0,0
CMP_000045,Real_Estate_Residential,BBB,39.05,29.35,19.03,9.86,97.29,0.0,APPROVE,74.37,10.0,0
CMP_000046,Steel_Secondary,BBB,39.04,29.34,19.24,9.83,97.45,0.0,APPROVE,73.69,10.0,0
CMP_000047,Pharma,BBB,39.05,29.34,19.21,9.86,97.46,0.0,APPROVE,17.53,10.0,0
CMP_000048,Pharma,BBB,39.05,29.35,19.25,9.75,97.4,0.0,APPROVE,186.8,10.0,0
CMP_000049,Textiles_Cotton,BBB,39.05,29.34,19.24,9.85,97.48,0.0,APPROVE,46.0,10.0,0
CMP_000050,Agri_Food,A,39.05,29.35,18.9,9.86,97.16,0.0,APPROVE,64.48,10.0,0
CMP_000051,Infrastructure_Roads,B,35.31,25.53,19.13,8.39,88.36,0.0002,APPROVE,11.26,10.0,0
CMP_000052,Chemical,A,39.05,29.35,19.23,9.79,97.42,0.0,APPROVE,207.99,10.0,0
CMP_000053,FMCG_Distribution,AA,39.05,29.35,19.22,9.86,97.48,0.0,APPROVE,14.35,10.0,0
CMP_000054,NBFC,BBB,39.04,29.35,19.2,9.86,97.45,0.0,APPROVE,86.76,10.0,0
CMP_000055,Chemical,BB,39.05,29.22,19.13,9.85,97.25,0.0,APPROVE,17.25,10.0,0
CMP_000056,Manufacturing_General,BBB,39.05,29.35,19.24,9.86,97.5,0.0,APPROVE,23.3,10.0,0
CMP_000057,Textiles_Cotton,A,39.05,29.33,19.25,9.85,97.48,0.0,APPROVE,71.83,10.0,0
CMP_000058,Manufacturing_General,BBB,39.03,29.35,19.01,9.86,97.25,0.0,APPROVE,86.95,10.0,0
CMP_000059,Steel_Secondary,BBB,39.05,29.35,18.8,9.84,97.04,0.0,APPROVE,13.82,10.0,0
CMP_000060,Steel_Primary,NR,39.05,29.25,19.25,9.84,97.39,0.0,APPROVE,91.44,10.0,0
CMP_000061,Textiles_Cotton,D,13.28,9.98,19.24,4.56,47.06,1.0,REJECT,0.0,,1
CMP_000062,Hospitals_Healthcare,BBB,39.04,29.34,19.25,9.86,97.49,0.0,APPROVE,18.05,10.0,0
CMP_000063,Steel_Primary,BBB,39.05,29.33,19.23,9.86,97.47,0.0,APPROVE,137.31,10.0,0
CMP_000064,Steel_Secondary,BB,39.05,29.34,19.24,9.86,97.49,0.0,APPROVE,11.91,10.0,0
CMP_000065,Pharma,AA,39.05,29.34,19.25,9.86,97.5,0.0,APPROVE,23.18,10.0,0
CMP_000066,Manufacturing_General,BBB,39.04,29.34,17.64,9.6,95.62,0.0,APPROVE,56.06,10.0,0
CMP_000067,Hospitals_Healthcare,BBB,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,19.31,10.0,0
CMP_000068,Manufacturing_General,D,11.57,8.79,13.1,4.45,37.91,1.0,REJECT,0.0,,1
CMP_000069,Agri_Food,AAA,39.05,29.35,19.18,9.86,97.44,0.0,APPROVE,46.35,10.0,0
CMP_000070,Infrastructure_Roads,BBB,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,32.91,10.0,0
CMP_000071,Textiles_Cotton,BB,38.49,29.27,19.24,9.52,96.52,0.0,APPROVE,74.38,10.0,0
CMP_000072,Manufacturing_General,BBB,39.05,29.35,19.25,9.85,97.5,0.0,APPROVE,31.84,10.0,0
CMP_000073,Hospitals_Healthcare,AA,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,46.0,10.0,0
CMP_000074,Real_Estate_Residential,NR,39.05,29.35,19.23,9.85,97.48,0.0,APPROVE,95.63,10.0,0
CMP_000075,Real_Estate_Commercial,BBB,39.04,29.15,19.25,9.77,97.21,0.0,APPROVE,71.95,10.0,0
CMP_000076,Infrastructure_Roads,BB,39.03,29.33,19.15,9.85,97.36,0.0,APPROVE,71.67,10.0,0
CMP_000077,Manufacturing_General,A,39.04,29.35,19.25,9.85,97.49,0.0,APPROVE,15.24,10.0,0
CMP_000078,Steel_Primary,BBB,39.01,29.35,19.25,9.84,97.45,0.0,APPROVE,58.16,10.0,0
CMP_000079,Manufacturing_General,BBB,39.05,29.35,19.25,9.84,97.49,0.0,APPROVE,18.93,10.0,0
CMP_000080,FMCG_Distribution,AA,39.05,29.33,19.21,9.86,97.45,0.0,APPROVE,13.71,10.0,0
CMP_000081,NBFC,AA,39.05,29.35,19.25,9.84,97.49,0.0,APPROVE,36.08,10.0,0
CMP_000082,Steel_Secondary,B,23.19,29.08,14.57,9.8,76.64,0.0659,APPROVE,18.54,10.0,0
CMP_000083,Manufacturing_General,A,39.05,29.35,19.19,9.86,97.45,0.0,APPROVE,71.94,10.0,0
CMP_000084,Steel_Secondary,A,39.05,29.35,19.24,9.85,97.49,0.0,APPROVE,73.33,10.0,0
CMP_000085,Steel_Secondary,BBB,39.05,29.35,19.23,9.86,97.49,0.0,APPROVE,8.34,10.0,0
CMP_000086,Real_Estate_Commercial,BB,39.03,29.31,19.25,9.05,96.64,0.0,APPROVE,19.7,10.0,0
CMP_000087,NBFC,AA,39.05,29.34,19.25,9.86,97.5,0.0,APPROVE,11.89,10.0,0
CMP_000088,FMCG_Distribution,BBB,39.05,29.35,19.11,9.86,97.37,0.0,APPROVE,26.4,10.0,0
CMP_000089,IT_Services,A,39.05,29.34,19.08,9.86,97.33,0.0,APPROVE,55.01,10.0,0
CMP_000090,Manufacturing_General,AA,39.05,29.35,19.24,9.86,97.5,0.0,APPROVE,31.49,10.0,0
CMP_000091,Real_Estate_Residential,AA,39.05,29.35,19.24,9.86,97.5,0.0,APPROVE,23.84,10.0,0
CMP_000092,Infrastructure_Roads,B,15.71,12.16,13.36,4.4,45.63,1.0,REJECT,0.0,,1
CMP_000093,Pharma,A,39.05,29.3,18.63,9.85,96.83,0.0,APPROVE,7.0,10.0,0
CMP_000094,Infrastructure_Roads,AA,39.05,29.35,19.21,9.86,97.47,0.0,APPROVE,102.8,10.0,0
CMP_000095,IT_Services,BBB,39.05,29.33,19.19,9.86,97.43,0.0,APPROVE,24.72,10.0,0
CMP_000096,Pharma,B,38.52,29.32,18.91,9.8,96.55,0.0,APPROVE,35.9,10.0,0
CMP_000097,Cement,A,39.05,29.35,19.22,9.86,97.48,0.0,APPROVE,25.07,10.0,0
CMP_000098,Manufacturing_General,BBB,39.05,29.34,19.19,9.82,97.4,0.0,APPROVE,131.32,10.0,0
CMP_000099,Manufacturing_General,AA,39.05,29.34,19.24,9.85,97.48,0.0,APPROVE,14.27,10.0,0
CMP_000100,Manufacturing_General,BBB,39.05,29.34,18.93,9.86,97.18,0.0,APPROVE,38.58,10.0,0
CMP_000101,NBFC,BBB,39.04,29.35,19.24,9.78,97.41,0.0,APPROVE,58.28,10.0,0
CMP_000102,Steel_Secondary,BBB,39.05,29.34,19.25,9.85,97.49,0.0,APPROVE,10.54,10.0,0
CMP_000103,IT_Services,BBB,39.05,29.35,19.21,9.86,97.47,0.0,APPROVE,18.31,10.0,0
CMP_000104,FMCG_Distribution,BBB,39.05,29.35,19.23,9.86,97.49,0.0,APPROVE,33.94,10.0,0
CMP_000105,Textiles_Cotton,AA,39.05,29.35,19.25,9.85,97.5,0.0,APPROVE,18.8,10.0,0
CMP_000106,Cement,BBB,39.05,29.35,19.22,9.86,97.48,0.0,APPROVE,19.9,10.0,0
CMP_000107,Real_Estate_Commercial,AA,39.05,29.34,19.21,9.84,97.44,0.0,APPROVE,28.89,10.0,0
CMP_000108,Textiles_Cotton,BB,39.05,29.02,19.24,9.85,97.16,0.0,APPROVE,64.26,10.0,0
CMP_000109,Manufacturing_General,NR,39.04,29.32,18.18,9.55,96.09,0.0,APPROVE,29.06,10.0,0
CMP_000110,Steel_Secondary,NR,39.04,29.35,19.23,9.85,97.47,0.0,APPROVE,90.57,10.0,0
CMP_000111,Manufacturing_General,B,38.9,29.31,19.21,9.85,97.27,0.0,APPROVE,17.21,10.0,0
CMP_000112,Chemical,BBB,39.05,29.35,19.2,9.86,97.46,0.0,APPROVE,14.04,10.0,0
CMP_000113,Hospitals_Healthcare,BB,39.04,29.34,19.24,9.86,97.48,0.0,APPROVE,178.46,10.0,0
CMP_000114,NBFC,A,39.05,29.35,19.24,9.86,97.5,0.0,APPROVE,22.58,10.0,0
CMP_000115,FMCG_Distribution,BB,39.04,29.32,19.2,9.84,97.4,0.0,APPROVE,13.39,10.0,0
CMP_000116,Hospitals_Healthcare,BBB,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,9.48,10.0,0
CMP_000117,Textiles_Cotton,BBB,39.05,29.32,19.25,9.85,97.47,0.0,APPROVE,90.32,10.0,0
CMP_000118,FMCG_Distribution,BB,39.04,29.29,19.19,9.85,97.37,0.0,APPROVE,29.08,10.0,0
CMP_000119,Pharma,A,39.05,29.35,19.17,9.86,97.43,0.0,APPROVE,31.2,10.0,0
CMP_000120,Hospitals_Healthcare,BBB,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,33.65,10.0,0
CMP_000121,FMCG_Distribution,D,32.37,27.19,18.37,8.88,86.81,0.0004,APPROVE,85.95,10.0,0
CMP_000122,Steel_Secondary,AA,39.05,29.35,19.25,9.85,97.5,0.0,APPROVE,33.1,10.0,0
CMP_000123,Manufacturing_General,BBB,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,249.28,10.0,0
CMP_000124,Textiles_Cotton,C,33.19,29.31,19.14,9.24,90.88,0.0,APPROVE,42.53,10.0,0
CMP_000125,Cement,BB,39.05,29.34,19.23,9.82,97.44,0.0,APPROVE,89.37,10.0,0
CMP_000126,Hospitals_Healthcare,BBB,39.05,29.35,19.22,9.86,97.48,0.0,APPROVE,72.79,10.0,0
CMP_000127,FMCG_Distribution,A,39.05,29.35,19.24,9.85,97.49,0.0,APPROVE,37.12,10.0,0
CMP_000128,Manufacturing_General,BBB,39.05,29.35,19.22,9.86,97.48,0.0,APPROVE,23.9,10.0,0
CMP_000129,IT_Services,B,38.98,29.28,19.24,9.85,97.35,0.0,APPROVE,49.85,10.0,0
CMP_000130,Cement,BBB,39.05,29.33,19.24,9.86,97.48,0.0,APPROVE,57.48,10.0,0
CMP_000131,Textiles_Cotton,BBB,39.05,29.34,19.24,9.75,97.38,0.0,APPROVE,24.17,10.0,0
CMP_000132,Manufacturing_General,AA,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,43.66,10.0,0
CMP_000133,Steel_Secondary,AAA,39.05,29.35,19.25,9.85,97.5,0.0,APPROVE,102.75,10.0,0
CMP_000134,Chemical,NR,39.04,29.35,18.56,9.86,96.81,0.0,APPROVE,200.19,10.0,0
CMP_000135,Steel_Secondary,BBB,39.05,28.96,19.25,9.85,97.11,0.0,APPROVE,75.7,10.0,0
CMP_000136,IT_Services,BBB,39.05,29.35,19.04,9.86,97.3,0.0,APPROVE,169.62,10.0,0
CMP_000137,Real_Estate_Residential,AA,39.05,29.35,19.25,9.85,97.5,0.0,APPROVE,23.1,10.0,0
CMP_000138,Steel_Primary,BB,38.98,29.27,19.23,9.84,97.32,0.0,APPROVE,67.01,10.0,0
CMP_000139,Agri_Food,NR,16.99,12.37,14.13,4.88,48.37,1.0,REJECT,0.0,,1
CMP_000140,Agri_Food,BBB,39.05,29.34,18.89,9.86,97.14,0.0,APPROVE,18.65,10.0,0
CMP_000141,Textiles_Cotton,A,39.05,29.35,19.21,9.7,97.31,0.0,APPROVE,25.91,10.0,0
CMP_000142,IT_Services,BBB,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,153.49,10.0,0
CMP_000143,Steel_Secondary,BB,39.03,29.34,19.25,9.86,97.48,0.0,APPROVE,17.52,10.0,0
CMP_000144,Steel_Secondary,BBB,39.05,29.33,19.25,9.81,97.44,0.0,APPROVE,13.07,10.0,0
CMP_000145,Manufacturing_General,B,24.97,20.93,18.49,8.32,72.71,0.345,CONDITIONAL,77.86,12.36,0
CMP_000146,NBFC,BB,39.04,29.27,19.25,9.85,97.41,0.0,APPROVE,99.56,10.0,0
CMP_000147,IT_Services,C,37.33,24.85,19.21,7.26,88.65,0.0001,APPROVE,54.0,10.0,0
CMP_000148,Manufacturing_General,BB,39.04,29.35,19.21,9.68,97.28,0.0,APPROVE,36.85,10.0,0
CMP_000149,Textiles_Cotton,A,39.05,29.34,18.98,7.9,95.27,0.0,APPROVE,26.91,10.0,0
CMP_000150,FMCG_Distribution,BBB,39.05,29.29,19.17,9.86,97.37,0.0,APPROVE,47.89,10.0,0
CMP_000151,Textiles_Cotton,A,39.05,29.35,19.25,9.85,97.5,0.0,APPROVE,135.25,10.0,0
CMP_000152,Manufacturing_General,C,15.71,13.19,14.25,4.59,47.74,1.0,REJECT,0.0,,1
CMP_000153,IT_Services,BB,39.05,29.34,19.24,9.86,97.49,0.0,APPROVE,216.35,10.0,0
CMP_000154,Agri_Food,BB,38.98,29.32,19.23,7.49,95.02,0.0,APPROVE,18.63,10.0,0
CMP_000155,Textiles_Cotton,BBB,39.05,29.33,19.21,9.85,97.44,0.0,APPROVE,37.62,10.0,0
CMP_000156,Real_Estate_Residential,A,39.05,29.35,19.24,9.86,97.5,0.0,APPROVE,28.36,10.0,0
CMP_000157,Infrastructure_Roads,BB,39.05,29.35,19.22,9.85,97.47,0.0,APPROVE,16.04,10.0,0
CMP_000158,Textiles_Cotton,BBB,39.05,29.23,19.22,9.55,97.05,0.0,APPROVE,33.81,10.0,0
CMP_000159,Real_Estate_Commercial,A,39.05,29.35,17.18,9.86,95.44,0.0,APPROVE,53.37,10.0,0
CMP_000160,Steel_Primary,BB,39.04,29.22,19.25,9.85,97.36,0.0,APPROVE,58.13,10.0,0
CMP_000161,NBFC,AA,39.05,29.35,19.25,9.85,97.5,0.0,APPROVE,216.95,10.0,0
CMP_000162,NBFC,BBB,39.05,29.32,19.24,9.86,97.47,0.0,APPROVE,55.42,10.0,0
CMP_000163,Pharma,BBB,39.05,29.35,19.23,9.85,97.48,0.0,APPROVE,95.91,10.0,0
CMP_000164,Manufacturing_General,A,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,40.29,10.0,0
CMP_000165,Hospitals_Healthcare,NR,38.97,29.35,19.25,9.83,97.4,0.0,APPROVE,146.31,10.0,0
CMP_000166,Steel_Secondary,A,39.05,29.35,19.24,9.85,97.49,0.0,APPROVE,260.36,10.0,0
CMP_000167,Textiles_Cotton,A,39.05,29.27,19.21,9.85,97.38,0.0,APPROVE,58.45,10.0,0
CMP_000168,Manufacturing_General,A,39.05,29.35,19.19,9.86,97.45,0.0,APPROVE,17.28,10.0,0
CMP_000169,NBFC,BB,39.04,29.35,19.22,9.75,97.36,0.0,APPROVE,24.64,10.0,0
CMP_000170,Real_Estate_Residential,BBB,39.05,29.35,19.14,9.54,97.08,0.0,APPROVE,47.89,10.0,0
CMP_000171,Manufacturing_General,BBB,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,55.07,10.0,0
CMP_000172,IT_Services,AAA,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,66.82,10.0,0
CMP_000173,Textiles_Cotton,AA,39.05,29.35,19.23,9.85,97.48,0.0,APPROVE,55.23,10.0,0
CMP_000174,NBFC,BBB,39.05,29.34,19.25,9.85,97.49,0.0,APPROVE,38.43,10.0,0
CMP_000175,Manufacturing_General,B,38.0,29.18,19.18,9.81,96.17,0.0,APPROVE,22.97,10.0,0
CMP_000176,Real_Estate_Residential,C,35.13,28.0,19.22,7.39,89.74,0.0001,APPROVE,52.68,10.0,0
CMP_000177,Steel_Primary,AA,39.05,29.34,19.24,9.74,97.37,0.0,APPROVE,168.57,10.0,0
CMP_000178,Chemical,BBB,39.05,29.35,19.09,9.86,97.35,0.0,APPROVE,86.42,10.0,0
CMP_000179,Manufacturing_General,C,33.86,24.44,19.21,9.7,87.21,0.0003,APPROVE,58.62,10.0,0
CMP_000180,Steel_Secondary,BBB,39.05,29.34,19.21,9.85,97.45,0.0,APPROVE,87.09,10.0,0
CMP_000181,Manufacturing_General,B,16.67,13.74,13.07,7.32,50.8,1.0,REJECT,0.0,,1
CMP_000182,Chemical,A,39.05,29.35,19.22,9.86,97.48,0.0,APPROVE,25.45,10.0,0
CMP_000183,FMCG_Distribution,NR,39.02,29.31,19.23,9.86,97.42,0.0,APPROVE,21.01,10.0,0
CMP_000184,Textiles_Cotton,BB,39.04,29.35,19.24,9.55,97.18,0.0,APPROVE,34.57,10.0,0
CMP_000185,Real_Estate_Residential,NR,38.96,29.35,19.21,9.86,97.38,0.0,APPROVE,27.26,10.0,0
CMP_000186,Hospitals_Healthcare,BB,39.04,29.35,19.2,9.86,97.45,0.0,APPROVE,100.48,10.0,0
CMP_000187,Pharma,BBB,39.05,29.35,19.05,9.86,97.31,0.0,APPROVE,26.13,10.0,0
CMP_000188,Pharma,NR,39.04,29.31,19.25,9.8,97.4,0.0,APPROVE,20.11,10.0,0
CMP_000189,Textiles_Cotton,A,39.05,29.28,19.25,9.84,97.42,0.0,APPROVE,180.8,10.0,0
CMP_000190,Manufacturing_General,BBB,39.05,29.35,19.15,9.86,97.41,0.0,APPROVE,26.64,10.0,0
CMP_000191,FMCG_Distribution,BB,39.04,29.35,19.22,9.86,97.47,0.0,APPROVE,43.21,10.0,0
CMP_000192,FMCG_Distribution,BB,39.02,29.1,19.02,9.86,97.0,0.0,APPROVE,54.84,10.0,0
CMP_000193,NBFC,D,32.52,23.37,19.14,7.87,82.9,0.0028,APPROVE,15.39,10.0,0
CMP_000194,Steel_Secondary,A,39.05,29.35,19.25,9.72,97.37,0.0,APPROVE,102.69,10.0,0
CMP_000195,Steel_Secondary,B,17.49,13.55,13.04,5.32,49.4,1.0,REJECT,0.0,,1
CMP_000196,Real_Estate_Commercial,BB,38.97,29.33,19.22,7.62,95.14,0.0,APPROVE,132.96,10.0,0
CMP_000197,FMCG_Distribution,AA,39.05,29.34,19.24,9.86,97.49,0.0,APPROVE,22.2,10.0,0
CMP_000198,FMCG_Distribution,BBB,39.05,29.34,19.24,9.86,97.49,0.0,APPROVE,41.37,10.0,0
CMP_000199,Infrastructure_Roads,A,39.05,29.35,19.15,9.86,97.41,0.0,APPROVE,39.44,10.0,0
CMP_000200,NBFC,BBB,39.05,29.35,19.24,9.86,97.5,0.0,APPROVE,47.2,10.0,0
CMP_000201,Manufacturing_General,NR,39.05,29.33,19.22,9.62,97.22,0.0,APPROVE,11.94,10.0,0
CMP_000202,Manufacturing_General,BB,39.05,29.34,19.21,9.85,97.45,0.0,APPROVE,41.76,10.0,0
CMP_000203,FMCG_Distribution,BB,39.05,29.35,19.24,9.86,97.5,0.0,APPROVE,12.21,10.0,0
CMP_000204,NBFC,NR,39.04,29.34,19.24,9.7,97.32,0.0,APPROVE,50.9,10.0,0
CMP_000205,Manufacturing_General,BBB,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,7.0,10.0,0
CMP_000206,Manufacturing_General,B,38.99,29.32,19.18,9.74,97.23,0.0,APPROVE,8.69,10.0,0
CMP_000207,Real_Estate_Residential,BBB,39.05,29.35,18.18,9.82,96.4,0.0,APPROVE,73.56,10.0,0
CMP_000208,Manufacturing_General,B,38.87,24.68,18.49,9.51,91.55,0.0,APPROVE,24.67,10.0,0
CMP_000209,Manufacturing_General,A,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,17.34,10.0,0
CMP_000210,Pharma,NR,39.03,29.35,19.21,8.99,96.58,0.0,APPROVE,105.64,10.0,0
CMP_000211,Real_Estate_Residential,A,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,49.67,10.0,0
CMP_000212,Real_Estate_Residential,BBB,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,76.78,10.0,0
CMP_000213,Textiles_Cotton,BB,39.04,29.34,19.25,9.85,97.48,0.0,APPROVE,33.46,10.0,0
CMP_000214,Real_Estate_Residential,BBB,39.05,29.34,19.23,9.86,97.48,0.0,APPROVE,326.05,10.0,0
CMP_000215,Textiles_Cotton,BBB,39.05,29.32,18.87,9.83,97.07,0.0,APPROVE,23.56,10.0,0
CMP_000216,Steel_Secondary,BBB,39.05,29.35,19.25,9.72,97.37,0.0,APPROVE,154.3,10.0,0
CMP_000217,Real_Estate_Commercial,BB,39.03,29.33,19.25,9.48,97.09,0.0,APPROVE,36.39,10.0,0
CMP_000218,NBFC,A,39.05,29.35,19.25,9.84,97.49,0.0,APPROVE,10.17,10.0,0
CMP_000219,Hospitals_Healthcare,AA,39.05,29.35,19.2,9.86,97.46,0.0,APPROVE,56.24,10.0,0
CMP_000220,Real_Estate_Residential,BBB,39.05,29.35,19.2,9.85,97.45,0.0,APPROVE,49.16,10.0,0
CMP_000221,Pharma,BBB,39.05,29.34,19.23,9.85,97.47,0.0,APPROVE,16.48,10.0,0
CMP_000222,Manufacturing_General,A,39.05,29.35,19.16,9.86,97.42,0.0,APPROVE,18.28,10.0,0
CMP_000223,Steel_Primary,BBB,39.05,29.34,19.24,9.84,97.47,0.0,APPROVE,37.47,10.0,0
CMP_000224,Textiles_Cotton,BBB,39.05,29.33,19.08,9.86,97.32,0.0,APPROVE,50.56,10.0,0
CMP_000225,Textiles_Cotton,AA,39.05,29.34,19.24,9.85,97.48,0.0,APPROVE,7.0,10.0,0
CMP_000226,Agri_Food,BBB,39.05,29.22,19.25,9.85,97.37,0.0,APPROVE,88.75,10.0,0
CMP_000227,Cement,C,37.54,25.8,19.13,5.7,88.17,0.0002,APPROVE,25.73,10.0,1
CMP_000228,FMCG_Distribution,A,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,13.17,10.0,0
CMP_000229,NBFC,BBB,39.04,29.35,19.25,9.67,97.31,0.0,APPROVE,81.14,10.0,0
CMP_000230,Infrastructure_Roads,BB,38.98,29.35,19.24,9.85,97.42,0.0,APPROVE,37.51,10.0,0
CMP_000231,IT_Services,BBB,39.05,29.35,18.98,9.86,97.24,0.0,APPROVE,101.11,10.0,0
CMP_000232,Pharma,BB,39.04,29.23,19.25,9.2,96.72,0.0,APPROVE,54.26,10.0,0
CMP_000233,IT_Services,BBB,39.03,29.34,19.25,9.86,97.48,0.0,APPROVE,38.17,10.0,0
CMP_000234,Textiles_Cotton,BBB,39.05,29.35,19.18,9.85,97.43,0.0,APPROVE,33.82,10.0,0
