MSME_Tier,Industry_Sector,Sector_Beta,DSCR,Current_Ratio,EBITDA_Margin,GST_Delay_Days,GST_Mismatch_Pct,Fraud_Keyword_Count,Default_Flag
Micro,Logistics,1.3,1.18,1.12,0.0796,9,0.0826,0,0
Micro,Logistics,1.3,1.44,1.28,0.0891,2,0.0387,0,0
Micro,Retail_Trading,1.0,0.94,0.99,0.0711,6,0.0594,0,0
Micro,Auto_Ancillary,1.5,1.55,1.35,0.0981,3,0.0639,0,0
Micro,Auto_Ancillary,1.5,1.16,1.11,0.125,4,0.0618,0,0
Micro,Manufacturing,1.1,1.28,1.18,0.0435,1,0.056,0,0
Micro,Manufacturing,1.1,1.16,1.11,0.0846,8,0.0625,0,0
Small,IT_Services,0.8,2.14,1.81,0.146,2,0.0385,0,0
Micro,Retail_Trading,1.0,1.39,1.25,0.1619,5,0.0578,0,0
Micro,Logistics,1.3,0.98,1.01,0.0941,8,0.0422,0,0
Micro,Auto_Ancillary,1.5,1.73,1.47,0.1275,1,0.0394,0,0
Micro,Manufacturing,1.1,0.91,0.98,0.0972,2,0.0469,0,0
Micro,IT_Services,0.8,1.48,1.3,0.0565,5,0.0624,0,0
Micro,IT_Services,0.8,0.62,0.84,0.1128,8,0.4526,0,1
Micro,Logistics,1.3,0.87,0.96,0.1214,6,0.0399,0,0
Micro,Manufacturing,1.1,1.48,1.3,0.153,3,0.0783,0,0
Small,Retail_Trading,1.0,1.7,1.45,0.2237,1,0.0484,0,0
Small,IT_Services,0.8,1.47,1.29,0.0751,2,0.0066,0,0
Micro,Logistics,1.3,1.35,1.22,0.0636,1,0.0658,0,0
Small,Auto_Ancillary,1.5,1.28,1.18,0.1411,3,0.0489,0,0
Micro,IT_Services,0.8,0.81,0.93,0.084,16,0.4511,0,1
Micro,IT_Services,0.8,1.11,1.08,0.0723,2,0.0369,0,0
Micro,Auto_Ancillary,1.5,1.22,1.14,0.1023,8,0.0544,0,0
Small,Retail_Trading,1.0,1.82,1.54,0.1142,3,0.0639,0,0
Micro,Retail_Trading,1.0,1.54,1.34,0.1887,0,0.0025,0,0
Micro,Retail_Trading,1.0,0.69,0.88,0.1747,8,0.0491,0,0
Micro,Retail_Trading,1.0,1.53,1.33,0.0652,3,0.0248,0,0
Micro,Retail_Trading,1.0,1.25,1.16,0.0597,4,0.0373,0,0
Micro,Manufacturing,1.1,1.13,1.09,0.0813,16,0.2717,0,1
Micro,Manufacturing,1.1,1.64,1.41,0.1045,5,0.0381,0,0
Micro,Auto_Ancillary,1.5,1.81,1.54,0.1081,0,0.0251,0,0
Small,Manufacturing,1.1,1.77,1.51,0.1278,3,0.001,0,0
Micro,Manufacturing,1.1,1.06,1.06,0.0902,2,0.0375,0,0
Micro,IT_Services,0.8,1.28,1.18,0.0654,2,0.0,0,0
Micro,IT_Services,0.8,1.53,1.34,0.0877,3,0.0562,0,0
Micro,Manufacturing,1.1,1.79,1.52,0.1923,3,0.0641,0,0
Small,Manufacturing,1.1,1.21,1.14,0.0992,1,0.0495,0,0
Micro,IT_Services,0.8,1.33,1.2,0.102,2,0.0215,0,0
Micro,Auto_Ancillary,1.5,0.96,1.0,0.0466,14,0.0673,0,0
Small,IT_Services,0.8,0.92,0.98,0.0839,3,0.0583,0,0
Micro,Logistics,1.3,1.73,1.47,0.1682,1,0.037,0,0
Micro,Auto_Ancillary,1.5,1.94,1.64,0.1635,1,0.016,0,0
Micro,Retail_Trading,1.0,1.37,1.23,0.1486,7,0.0754,0,0
Micro,IT_Services,0.8,1.8,1.53,0.0919,2,0.0276,0,0
Micro,IT_Services,0.8,1.54,1.34,0.0811,2,0.0558,0,0
Small,IT_Services,0.8,1.14,1.1,0.1512,2,0.0457,0,0
Micro,Retail_Trading,1.0,1.54,1.34,0.1561,9,0.4425,4,1
Micro,Retail_Trading,1.0,2.02,1.7,0.1351,1,0.0805,0,0
Micro,Retail_Trading,1.0,1.39,1.24,0.1507,2,0.0371,0,0
Micro,Manufacturing,1.1,2.03,1.71,0.1009,2,0.0262,0,0
Micro,Retail_Trading,1.0,0.35,0.74,0.0325,19,0.076,0,0
Micro,Retail_Trading,1.0,1.73,1.47,0.0739,0,0.0376,0,0
Micro,Retail_Trading,1.0,1.43,1.27,0.1346,2,0.058,0,0
Small,Retail_Trading,1.0,1.28,1.18,0.1232,1,0.0299,0,0
Micro,Manufacturing,1.1,1.44,1.27,0.1023,2,0.0329,0,0
Micro,Manufacturing,1.1,0.6,0.84,0.0596,18,0.0716,0,0
Small,Manufacturing,1.1,1.31,1.2,0.205,5,0.0613,0,0
Micro,Retail_Trading,1.0,1.54,1.34,0.1162,4,0.0332,0,0
Micro,Retail_Trading,1.0,1.99,1.68,0.1945,0,0.0256,0,0
Micro,Logistics,1.3,1.19,1.13,0.1063,5,0.0535,0,0
Micro,Retail_Trading,1.0,1.08,1.06,0.0887,3,0.0626,0,0
Micro,Logistics,1.3,1.2,1.13,0.1639,6,0.0569,0,0
Micro,IT_Services,0.8,1.77,1.5,0.1636,1,0.0588,0,0
Micro,Auto_Ancillary,1.5,1.53,1.33,0.1244,1,0.053,0,0
Micro,Auto_Ancillary,1.5,1.19,1.12,0.1531,4,0.0232,0,0
Micro,IT_Services,0.8,1.61,1.39,0.2206,3,0.048,0,0
Micro,Manufacturing,1.1,1.44,1.27,0.0947,7,0.0791,1,0
Micro,Manufacturing,1.1,1.79,1.52,0.1528,4,0.0374,0,0
Micro,Manufacturing,1.1,1.12,1.09,0.0938,11,0.0698,0,0
Small,Logistics,1.3,1.27,1.17,0.0805,12,0.0729,0,0
Micro,Retail_Trading,1.0,1.24,1.16,0.0784,5,0.0579,0,0
Micro,Auto_Ancillary,1.5,0.81,0.93,0.155,4,0.0459,0,0
Micro,Retail_Trading,1.0,1.52,1.33,0.0578,1,0.0458,0,0
Micro,Retail_Trading,1.0,1.5,1.32,0.1428,6,0.0471,0,0
Micro,Auto_Ancillary,1.5,1.4,1.25,0.0898,3,0.0376,0,0
Micro,Logistics,1.3,1.31,1.19,0.1812,1,0.0572,0,0
Micro,Auto_Ancillary,1.5,0.83,0.94,0.0873,9,0.0578,0,0
Micro,Logistics,1.3,1.23,1.15,0.0999,1,0.0827,0,0
Micro,Retail_Trading,1.0,1.26,1.17,0.1721,1,0.0156,0,0
Micro,Logistics,1.3,1.08,1.06,0.1393,5,0.0572,0,0
Micro,Manufacturing,1.1,1.34,1.21,0.1377,6,0.0428,0,0
Small,Manufacturing,1.1,1.56,1.36,0.156,1,0.057,0,0
Micro,Auto_Ancillary,1.5,2.15,1.82,0.1105,1,0.019,0,0
Micro,Manufacturing,1.1,1.47,1.29,0.15,4,0.0732,0,0
Micro,IT_Services,0.8,1.5,1.32,0.1168,5,0.0681,0,0
Micro,IT_Services,0.8,1.37,1.23,0.132,0,0.0154,0,0
Medium,IT_Services,0.8,0.63,0.85,0.1071,17,0.0661,0,0
Micro,Manufacturing,1.1,1.39,1.24,0.0789,3,0.0573,0,0
Micro,Logistics,1.3,1.42,1.27,0.1427,1,0.0593,0,0
Micro,Manufacturing,1.1,2.39,2.05,0.1526,0,0.0422,0,0
Micro,Logistics,1.3,1.32,1.2,0.0715,1,0.0389,0,0
Micro,Auto_Ancillary,1.5,1.52,1.33,0.1195,14,0.3378,0,1
Micro,Logistics,1.3,1.39,1.24,0.1202,1,0.0607,0,0
Micro,Retail_Trading,1.0,0.93,0.99,0.1231,1,0.0278,0,0
Micro,Auto_Ancillary,1.5,1.86,1.57,0.0507,2,0.0459,0,0
Micro,IT_Services,0.8,1.7,1.45,0.1463,0,0.0696,0,0
Micro,Auto_Ancillary,1.5,1.72,1.46,0.1139,2,0.0541,0,0
Micro,Auto_Ancillary,1.5,1.04,1.04,0.1351,12,0.0674,0,0
Micro,Manufacturing,1.1,1.96,1.65,0.1424,1,0.0359,0,0
Micro,Logistics,1.3,0.84,0.94,0.0853,8,0.0427,0,0
Micro,Manufacturing,1.1,1.63,1.41,0.1229,1,0.0431,0,0
Micro,Manufacturing,1.1,2.28,1.94,0.1673,0,0.0258,0,0
Micro,Auto_Ancillary,1.5,1.0,1.03,0.1374,3,0.0263,0,0
Small,Manufacturing,1.1,1.17,1.12,0.0783,9,0.0482,0,0
Small,Auto_Ancillary,1.5,1.44,1.28,0.109,8,0.0771,0,0
Micro,Auto_Ancillary,1.5,1.2,1.13,0.1658,3,0.0302,0,0
Micro,Retail_Trading,1.0,0.78,0.92,0.082,12,0.0634,0,0
Micro,Logistics,1.3,1.43,1.27,0.1346,1,0.0509,0,0
Micro,Retail_Trading,1.0,0.98,1.01,0.0578,4,0.0627,0,0
Micro,Auto_Ancillary,1.5,1.59,1.37,0.0647,0,0.0648,0,0
Micro,Auto_Ancillary,1.5,1.03,1.04,0.0672,12,0.0605,0,0
Micro,Retail_Trading,1.0,2.02,1.7,0.1195,0,0.0377,0,0
Micro,Retail_Trading,1.0,1.09,1.07,0.1456,1,0.0726,0,0
Micro,Retail_Trading,1.0,1.27,1.17,0.157,4,0.0428,0,0
Micro,Manufacturing,1.1,1.73,1.47,0.0624,7,0.0585,0,0
Micro,Logistics,1.3,0.91,0.98,0.0805,5,0.0575,0,0
Micro,Retail_Trading,1.0,1.49,1.31,0.1492,0,0.0312,0,0
Micro,Logistics,1.3,1.92,1.62,0.1371,1,0.057,0,0
Micro,Auto_Ancillary,1.5,0.76,0.91,0.1494,7,0.0175,0,0
Micro,IT_Services,0.8,1.47,1.3,0.1476,4,0.0442,0,0
Micro,Logistics,1.3,1.5,1.32,0.1143,5,0.0674,0,0
Micro,Manufacturing,1.1,1.71,1.46,0.126,2,0.0306,0,0
Small,Retail_Trading,1.0,0.91,0.98,0.0981,5,0.0415,0,0
Micro,Auto_Ancillary,1.5,0.87,0.96,0.0679,11,0.0579,0,0
Micro,Logistics,1.3,1.61,1.39,0.1628,0,0.0604,0,0
Micro,Auto_Ancillary,1.5,1.52,1.33,0.152,1,0.0432,0,0
Micro,Retail_Trading,1.0,1.5,1.31,0.1407,1,0.0395,0,0
Micro,Auto_Ancillary,1.5,1.54,1.34,0.1344,1,0.0239,0,0
Micro,Manufacturing,1.1,1.13,1.09,0.0718,1,0.0487,0,0
Micro,IT_Services,0.8,1.49,1.31,0.1422,5,0.0312,0,0
Micro,IT_Services,0.8,1.52,1.33,0.1294,1,0.0014,0,0
Micro,Auto_Ancillary,1.5,1.11,1.08,0.182,0,0.0227,0,0
Micro,Auto_Ancillary,1.5,2.15,1.82,0.1024,2,0.008,0,0
Micro,Logistics,1.3,1.59,1.37,0.1011,4,0.0474,0,0
Micro,Auto_Ancillary,1.5,0.92,0.98,0.0428,7,0.0787,0,0
Micro,IT_Services,0.8,1.66,1.43,0.1225,3,0.0772,0,0
Micro,Auto_Ancillary,1.5,1.01,1.03,0.0406,7,0.0748,0,0
Small,Manufacturing,1.1,1.71,1.46,0.1761,4,0.0696,0,0
Micro,IT_Services,0.8,1.86,1.58,0.1786,0,0.0295,0,0
Small,IT_Services,0.8,1.07,1.06,0.101,14,0.0557,0,0
Micro,Manufacturing,1.1,1.79,1.52,0.0983,4,0.062,0,0
Micro,Manufacturing,1.1,1.57,1.36,0.0707,2,0.0592,0,0
Micro,IT_Services,0.8,1.73,1.47,0.1073,1,0.0473,0,0
Small,Logistics,1.3,2.16,1.83,0.1733,1,0.0386,0,0
Micro,Retail_Trading,1.0,1.3,1.19,0.0872,1,0.0217,0,0
Medium,Logistics,1.3,1.1,1.08,0.1779,3,0.0148,0,0
Micro,Logistics,1.3,1.04,1.05,0.1604,10,0.0637,0,0
Micro,IT_Services,0.8,1.07,1.06,0.107,5,0.0776,0,0
Micro,IT_Services,0.8,1.37,1.23,0.1018,13,0.0481,0,0
Micro,IT_Services,0.8,1.54,1.34,0.1046,1,0.0492,0,0
Micro,Manufacturing,1.1,1.51,1.32,0.183,2,0.0579,0,0
Micro,IT_Services,0.8,1.73,1.47,0.1092,1,0.0491,0,0
Micro,Logistics,1.3,1.41,1.25,0.1545,2,0.03,0,0
Micro,IT_Services,0.8,1.98,1.67,0.1441,2,0.0153,0,0
Micro,Auto_Ancillary,1.5,1.29,1.19,0.1419,1,0.0282,0,0
Micro,Manufacturing,1.1,2.49,2.15,0.1334,0,0.0303,0,0
Small,IT_Services,0.8,1.65,1.42,0.1178,1,0.0305,0,0
Small,IT_Services,0.8,1.06,1.05,0.1054,3,0.0475,0,0
Micro,IT_Services,0.8,0.97,1.01,0.0797,3,0.0453,0,0
Micro,Manufacturing,1.1,1.59,1.38,0.1735,5,0.0503,0,0
Micro,Retail_Trading,1.0,1.31,1.2,0.0884,3,0.053,0,0
Micro,Auto_Ancillary,1.5,1.69,1.44,0.1103,4,0.036,0,0
Micro,Manufacturing,1.1,1.59,1.37,0.1774,3,0.0606,0,0
Micro,Logistics,1.3,1.37,1.23,0.1615,5,0.0392,0,0
Micro,IT_Services,0.8,1.06,1.06,0.1647,1,0.0454,0,0
Micro,Manufacturing,1.1,0.79,0.92,0.0258,7,0.0495,0,0
Micro,Auto_Ancillary,1.5,1.22,1.14,0.1202,6,0.0462,0,0
Micro,Manufacturing,1.1,1.74,1.48,0.137,1,0.0388,0,0
Small,Logistics,1.3,1.49,1.3,0.1028,8,0.0574,0,0
Micro,Retail_Trading,1.0,0.9,0.97,0.112,2,0.0506,0,0
Micro,Retail_Trading,1.0,1.47,1.29,0.111,5,0.0614,0,0
Micro,Auto_Ancillary,1.5,1.55,1.35,0.1321,1,0.0097,0,0
Micro,Auto_Ancillary,1.5,1.05,1.05,0.2306,6,0.064,0,0
Micro,Retail_Trading,1.0,1.46,1.29,0.1341,3,0.0571,0,0
Micro,Manufacturing,1.1,1.42,1.26,0.1341,1,0.0426,0,0
Small,IT_Services,0.8,0.94,0.99,0.1318,9,0.0751,0,0
Micro,Auto_Ancillary,1.5,1.54,1.34,0.1323,0,0.0397,0,0
Small,Retail_Trading,1.0,1.62,1.4,0.0887,2,0.024,0,0
Micro,Auto_Ancillary,1.5,1.83,1.55,0.077,1,0.0697,0,0
Micro,Logistics,1.3,1.82,1.54,0.1358,2,0.0548,0,0
Micro,Logistics,1.3,0.85,0.95,0.0881,0,0.0156,0,0
Micro,Logistics,1.3,1.02,1.04,0.033,8,0.051,0,0
Medium,Auto_Ancillary,1.5,1.61,1.39,0.188,2,0.0385,0,0
Micro,Logistics,1.3,1.61,1.39,0.1321,1,0.0479,0,0
Small,Auto_Ancillary,1.5,1.61,1.39,0.181,1,0.0557,0,0
Micro,Logistics,1.3,2.94,2.7,0.0998,0,0.0336,0,0
Micro,Manufacturing,1.1,1.63,1.4,0.1826,3,0.06,0,0
Micro,Auto_Ancillary,1.5,1.85,1.57,0.1204,0,0.034,0,0
Micro,Manufacturing,1.1,1.78,1.51,0.1814,1,0.0026,0,0
Micro,Manufacturing,1.1,1.66,1.42,0.1383,3,0.033,0,0
Micro,Retail_Trading,1.0,1.27,1.17,0.1316,5,0.0141,0,0
Micro,IT_Services,0.8,1.7,1.45,0.1488,1,0.0293,0,0
Micro,Retail_Trading,1.0,1.09,1.07,0.092,7,0.0558,0,0
Medium,Retail_Trading,1.0,1.31,1.19,0.0925,3,0.0295,0,0
Micro,Manufacturing,1.1,1.21,1.13,0.099,9,0.0557,0,0
Micro,Logistics,1.3,1.43,1.27,0.0673,2,0.0522,0,0
Micro,IT_Services,0.8,2.33,1.99,0.1394,0,0.0351,0,0
Micro,Retail_Trading,1.0,0.65,0.86,0.0646,12,0.0573,0,0
Micro,Logistics,1.3,1.67,1.43,0.0761,4,0.0348,0,0
Micro,Logistics,1.3,0.75,0.91,0.111,9,0.0741,0,0
Micro,Auto_Ancillary,1.5,1.21,1.14,0.1127,3,0.0614,0,0
Micro,Logistics,1.3,1.84,1.55,0.1464,1,0.0616,0,0
Micro,Retail_Trading,1.0,1.43,1.27,0.1466,2,0.0351,0,0
Medium,Manufacturing,1.1,0.97,1.01,0.094,2,0.0163,0,0
Micro,IT_Services,0.8,1.11,1.08,0.0741,3,0.0567,0,0
Micro,Auto_Ancillary,1.5,1.67,1.43,0.142,6,0.0238,0,0
Micro,Retail_Trading,1.0,1.11,1.08,0.0012,6,0.0573,0,0
Small,Retail_Trading,1.0,1.49,1.31,0.1195,1,0.0251,0,0
Micro,Auto_Ancillary,1.5,1.42,1.26,0.1488,1,0.0412,0,0
Micro,IT_Services,0.8,1.14,1.1,0.148,4,0.0295,0,0
Micro,IT_Services,0.8,2.26,1.92,0.1349,4,0.0434,0,0
Micro,Auto_Ancillary,1.5,1.65,1.42,0.048,7,0.0458,0,0
Micro,Retail_Trading,1.0,0.59,0.83,-0.0089,5,0.059,0,0
Micro,Auto_Ancillary,1.5,1.47,1.3,0.1464,6,0.0805,0,0
Micro,Logistics,1.3,1.14,1.1,0.0964,2,0.0538,0,0
Small,Retail_Trading,1.0,1.74,1.48,0.2076,0,0.0288,0,0
Micro,Logistics,1.3,1.08,1.07,0.0556,4,0.0725,0,0
Micro,Manufacturing,1.1,1.35,1.22,0.1307,1,0.047,0,0
Micro,IT_Services,0.8,1.6,1.38,0.189,4,0.0123,0,0
Micro,IT_Services,0.8,1.75,1.49,0.1414,1,0.0294,0,0
Micro,Logistics,1.3,0.92,0.98,0.0424,1,0.034,0,0
Micro,Retail_Trading,1.0,1.27,1.17,0.2163,1,0.0337,0,0
Micro,Manufacturing,1.1,1.21,1.14,0.1703,3,0.0462,0,0
Micro,IT_Services,0.8,1.14,1.1,0.1012,1,0.0356,0,0
Micro,Retail_Trading,1.0,2.11,1.78,0.1783,1,0.0564,0,0
Micro,IT_Services,0.8,1.56,1.36,0.1569,1,0.0679,0,0
Micro,Logistics,1.3,0.9,0.97,0.1234,11,0.0644,2,0
Small,Retail_Trading,1.0,1.77,1.5,0.084,3,0.0507,0,0
Micro,IT_Services,0.8,2.25,1.91,0.1658,0,0.059,0,0
Micro,Retail_Trading,1.0,1.81,1.54,0.1901,0,0.0,0,0
Small,Manufacturing,1.1,0.79,0.92,0.1142,2,0.0321,0,0
Micro,IT_Services,0.8,1.21,1.13,0.1268,2,0.0451,0,0
Micro,Logistics,1.3,1.91,1.61,0.1206,1,0.0382,0,0
Micro,Logistics,1.3,1.12,1.09,0.0755,13,0.0784,0,0
Micro,Auto_Ancillary,1.5,1.58,1.37,0.0695,4,0.0445,0,0
Micro,Manufacturing,1.1,1.71,1.46,0.1602,1,0.0444,0,0
Micro,Retail_Trading,1.0,1.03,1.04,0.0971,13,0.2682,0,1
Micro,Manufacturing,1.1,1.38,1.24,0.0699,3,0.0647,0,0
Micro,Auto_Ancillary,1.5,0.1,0.65,0.1039,16,0.2697,0,1
Micro,Auto_Ancillary,1.5,0.99,1.02,0.0821,14,0.0638,0,0
Micro,Logistics,1.3,1.3,1.19,0.0845,7,0.0565,0,0
Micro,Logistics,1.3,0.9,0.97,0.0818,9,0.072,0,0
Micro,Auto_Ancillary,1.5,2.05,1.73,0.139,1,0.0453,0,0
Micro,Logistics,1.3,0.83,0.94,0.1139,6,0.0537,0,0
Micro,Logistics,1.3,1.22,1.14,0.0809,4,0.0437,0,0
Micro,Manufacturing,1.1,1.45,1.28,0.1591,0,0.0389,0,0
Micro,Auto_Ancillary,1.5,1.98,1.67,0.1608,0,0.0264,0,0
Micro,Auto_Ancillary,1.5,0.83,0.94,0.0782,7,0.0622,0,0
Micro,IT_Services,0.8,1.87,1.58,0.1328,2,0.036,0,0
Micro,Logistics,1.3,1.4,1.25,0.1047,2,0.0579,0,0
Small,Logistics,1.3,1.01,1.03,0.1067,20,0.0626,2,1
Micro,IT_Services,0.8,1.58,1.37,0.1831,3,0.0407,0,0
Micro,Logistics,1.3,1.48,1.3,0.1073,3,0.0269,0,0
Micro,Auto_Ancillary,1.5,1.16,1.11,0.1173,1,0.0647,0,0
Micro,Manufacturing,1.1,1.43,1.27,0.0955,3,0.0442,0,0
Micro,Auto_Ancillary,1.5,1.25,1.16,0.1333,5,0.0606,0,0
Micro,Manufacturing,1.1,1.45,1.28,0.1319,2,0.0187,0,0
Micro,IT_Services,0.8,1.66,1.43,0.1793,1,0.0544,0,0
Micro,Manufacturing,1.1,2.03,1.72,0.115,1,0.0006,0,0
Micro,Retail_Trading,1.0,0.9,0.98,0.1255,3,0.0781,0,0
Micro,Logistics,1.3,2.25,1.92,0.2005,0,0.0173,0,0
Micro,Retail_Trading,1.0,0.62,0.85,0.0727,26,0.0813,2,1
Micro,Retail_Trading,1.0,1.34,1.21,0.1129,1,0.0391,0,0
Micro,Retail_Trading,1.0,1.64,1.41,0.1364,1,0.0424,0,0
Micro,IT_Services,0.8,1.51,1.32,0.1158,3,0.0446,0,0
Micro,Retail_Trading,1.0,1.15,1.1,0.1165,0,0.0445,0,0
Micro,Retail_Trading,1.0,1.32,1.2,0.1414,9,0.4015,0,1
Micro,IT_Services,0.8,1.2,1.13,0.1079,9,0.0597,0,0
Medium,IT_Services,0.8,1.16,1.11,0.1061,1,0.0763,0,0
Micro,Logistics,1.3,1.74,1.48,0.1434,1,0.0603,0,0
Micro,Logistics,1.3,1.54,1.34,0.1111,5,0.0633,0,0
Micro,Manufacturing,1.1,1.12,1.09,0.0961,5,0.0728,0,0
Micro,Logistics,1.3,1.76,1.5,0.1014,4,0.0867,0,0
Micro,Logistics,1.3,1.52,1.33,0.1234,7,0.0271,0,0
Micro,Logistics,1.3,1.73,1.47,0.1494,0,0.0349,0,0
Micro,Manufacturing,1.1,1.65,1.42,0.1202,3,0.0791,0,0
Micro,IT_Services,0.8,1.07,1.06,0.0784,2,0.0439,0,0
Micro,Retail_Trading,1.0,1.18,1.12,0.1075,3,0.0438,0,0
Micro,Retail_Trading,1.0,1.7,1.45,0.1465,2,0.0371,0,0
Micro,Logistics,1.3,1.64,1.41,0.1345,2,0.0433,0,0
Micro,Manufacturing,1.1,1.39,1.24,0.2014,1,0.0307,0,0
Micro,Retail_Trading,1.0,1.45,1.28,0.0978,5,0.0569,0,0
Micro,IT_Services,0.8,1.91,1.61,0.1349,0,0.0063,0,0
Micro,Logistics,1.3,1.16,1.11,0.1391,2,0.0407,0,0
Micro,Logistics,1.3,1.62,1.39,0.1033,5,0.0539,0,0
Micro,IT_Services,0.8,1.32,1.2,0.1875,1,0.0107,0,0
Small,IT_Services,0.8,1.31,1.2,0.1167,4,0.05,0,0
Micro,Logistics,1.3,1.84,1.56,0.1582,5,0.0684,0,0
Micro,Manufacturing,1.1,1.73,1.47,0.1339,1,0.0381,0,0
Micro,IT_Services,0.8,1.73,1.47,0.1704,4,0.0414,0,0
Small,Auto_Ancillary,1.5,1.92,1.62,0.1019,0,0.0329,0,0
Micro,Retail_Trading,1.0,1.41,1.26,0.178,1,0.0596,0,0
Micro,Retail_Trading,1.0,1.67,1.43,0.1394,2,0.0531,0,0
Micro,IT_Services,0.8,1.28,1.17,0.1392,1,0.0584,0,0
Micro,Auto_Ancillary,1.5,1.53,1.33,0.0981,2,0.0399,0,0
Micro,Manufacturing,1.1,1.35,1.22,0.1303,3,0.0517,0,0
Micro,Retail_Trading,1.0,1.44,1.27,0.0861,4,0.0626,0,0
Small,IT_Services,0.8,1.64,1.41,0.1726,1,0.0444,0,0
Micro,Retail_Trading,1.0,1.07,1.06,0.0596,1,0.0213,0,0
Micro,IT_Services,0.8,2.24,1.9,0.1591,0,0.0231,0,0
Micro,Logistics,1.3,1.0,1.02,0.0897,2,0.0173,0,0
Micro,Retail_Trading,1.0,0.91,0.98,0.0433,7,0.0649,0,0
Micro,Manufacturing,1.1,1.86,1.58,0.1042,1,0.0579,0,0
Micro,Manufacturing,1.1,1.72,1.46,0.1491,1,0.0561,0,0
Micro,Auto_Ancillary,1.5,1.65,1.42,0.0971,1,0.0309,0,0
Micro,Retail_Trading,1.0,1.65,1.42,0.1055,0,0.0196,0,0
Small,Manufacturing,1.1,1.4,1.25,0.1335,8,0.0641,0,0
Micro,Retail_Trading,1.0,1.04,1.04,0.1392,4,0.0511,0,0
Micro,Manufacturing,1.1,1.43,1.27,0.1454,2,0.0726,0,0
Small,IT_Services,0.8,1.13,1.09,0.1075,4,0.0347,0,0
Small,Retail_Trading,1.0,1.79,1.52,0.1436,0,0.0309,0,0
Micro,IT_Services,0.8,1.34,1.21,0.122,8,0.0439,0,0
Micro,IT_Services,0.8,1.07,1.06,0.0688,3,0.0393,0,0
Micro,Auto_Ancillary,1.5,1.27,1.17,0.1251,3,0.0625,0,0
Small,Manufacturing,1.1,1.57,1.36,0.0883,4,0.056,0,0
Micro,Manufacturing,1.1,1.17,1.12,0.1335,6,0.0496,0,0
Small,IT_Services,0.8,1.07,1.06,0.1118,4,0.4316,0,1
Micro,IT_Services,0.8,1.5,1.31,0.0446,1,0.0411,0,0
Micro,Auto_Ancillary,1.5,1.5,1.31,0.1598,3,0.0594,0,0
Micro,Manufacturing,1.1,1.2,1.13,0.0928,8,0.0335,0,0
Micro,Retail_Trading,1.0,1.21,1.14,0.0903,9,0.05,0,0
Small,Manufacturing,1.1,1.49,1.31,0.1588,3,0.0382,0,0
Micro,Logistics,1.3,0.82,0.94,0.0908,21,0.229,0,1
Micro,Manufacturing,1.1,0.84,0.94,0.1194,7,0.0407,0,0
Micro,Auto_Ancillary,1.5,1.11,1.08,0.0846,6,0.0672,0,0
Micro,Manufacturing,1.1,1.31,1.2,0.146,7,0.069,0,0
Micro,Retail_Trading,1.0,1.52,1.33,0.1322,8,0.0815,0,0
Micro,Logistics,1.3,1.99,1.68,0.1585,3,0.0434,0,0
Micro,Logistics,1.3,1.74,1.48,0.1272,1,0.0609,0,0
Micro,Retail_Trading,1.0,1.34,1.21,0.1772,4,0.0338,0,0
Medium,Auto_Ancillary,1.5,1.39,1.25,0.1883,5,0.058,0,0
